# GOLD curated hi->sat exact-match pre-check (source: datasets/hin_sat/corpus.gold_verified.tsv tier).
# TSV: hindi<TAB>santali. Loaded once at MT warm-up; exact match on trimmed input.
नमस्ते	ᱡᱚᱦᱟᱨ
आज	ᱛᱮᱦᱮᱧ
चार	ᱯᱩᱱ
बाद में मिलते हैं	ᱛᱟᱭᱚᱢ ᱛᱮ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱚᱜᱼᱟ
मैं समझता हूँ	ᱤᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟᱹᱧ
पुलिस को बुलाओ	ᱯᱩᱞᱤᱥ ᱦᱚᱦᱚ ᱠᱚᱢ
शुभ दोपहर	ᱥᱟᱹᱜᱩᱱ ᱛᱟᱨᱟᱥᱤᱧ
आपसे मिलकर अच्छा लगा	ᱟᱢ ᱥᱟᱶ ᱧᱟᱯᱟᱢ ᱠᱟᱛᱮ ᱠᱩᱥᱤ ᱮᱱᱟᱹᱧ
क्या आप अंग्रेज़ी बोलते हैं?	ᱪᱮᱫ ᱟᱢ ᱤᱝᱨᱟᱡᱤ ᱨᱚᱲ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱᱟᱢ?
आप कैसे हैं?	ᱟᱢ ᱪᱮᱫ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?
रेलवे स्टेशन कहां है?	ᱴᱨᱮᱱ ᱥᱴᱮᱥᱚᱱ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
मैं टिकट कहाँ से खरीद सकता हूँ?	ᱤᱧ ᱚᱠᱟ ᱠᱷᱚᱱ ᱴᱤᱠᱤᱴ ᱠᱤᱨᱤᱧ ᱫᱟᱲᱮᱭᱟᱜᱼᱟᱹᱧ?
हवाई अड्डा कहाँ है?	ᱮᱭᱟᱨᱯᱚᱨᱴ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
