मेरे पास उनसठ पन्ना हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱠᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी उनसठ दिन बचे हैं।	ᱱᱤᱛᱚᱜ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱫᱤᱱ ᱛᱟᱭᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इस कमरे में उनसठ कुर्सी हैं।	ᱱᱚᱶᱟ ᱚᱲᱟᱜ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उनसठ पन्ना हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱠᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी उनसठ दिन बचे हैं।	ᱱᱤᱛᱚᱜ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱫᱤᱱ ᱛᱟᱭᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इस कमरे में उनसठ कुर्सी हैं।	ᱱᱚᱶᱟ ᱚᱲᱟᱜ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पचहत्तर पन्ना हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱟᱠᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी पचहत्तर दिन बचे हैं।	ᱱᱤᱛᱚᱜ ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱫᱤᱱ ᱛᱟᱭᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इस कमरे में पचहत्तर कुर्सी हैं।	ᱱᱚᱶᱟ ᱚᱲᱟᱜ ᱨᱮ ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सतहत्तर पन्ना हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱠᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी सतहत्तर दिन बचे हैं।	ᱱᱤᱛᱚᱜ ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱫᱤᱱ ᱛᱟᱭᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इस कमरे में सतहत्तर कुर्सी हैं।	ᱱᱚᱶᱟ ᱚᱲᱟᱜ ᱨᱮ ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
