मेज़ पर ग्यारह दाल हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
विद्यालय में तीस दो मछली हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
विद्यालय में सात स्कूल हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱠᱩᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
विद्यालय में पचास चीनी हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱪᱤᱱᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेरे पास चालीस छः आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
यह अच्छा पेंसिल है।	ᱱᱚᱣᱟ ᱫᱚ ᱱᱟᱯᱟᱭ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
यह एक छात्र है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟ।
विद्यालय में दस मुर्गी हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
विद्यालय में अस्सी दाल हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱤᱨᱟᱹᱞ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेज़ पर पचास साँप हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱥᱟᱸᱯ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेज़ पर तीस सात चाँद हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱪᱟᱸᱫᱚ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेरे पास पंद्रह अमरूद हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास एक अक्षर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱚᱠᱷᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेज़ पर सत्रह स्कूल हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱠᱩᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
यह पीला केला है।	ᱱᱚᱣᱟ ᱫᱚ ᱯᱤᱞ ᱠᱮᱞᱟ ᱠᱟᱱᱟ।
मेरे पास तीस दो चिड़िया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
विद्यालय में सौ ब्लैकबोर्ड हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱢᱤᱫ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
विद्यालय में बीस चार नारियल हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱠᱩᱲᱤ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱤᱭᱟᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेज़ पर चालीस नौ बकरी हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱵᱚᱠᱨᱟ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेरे पास पंद्रह लड़की हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱲᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
यह पीला मछली है।	ᱱᱚᱣᱟ ᱫᱚ ᱯᱤᱞ ᱢᱟᱪᱷᱤ ᱠᱟᱱᱟ।
मेज़ पर उन्नीस कॉफ़ी हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱜᱮᱞ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱠᱚᱯᱷᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेरे पास दो पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
विद्यालय में चालीस छः किताब हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱚᱛᱚᱢ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेज़ पर चालीस छः दोस्त हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱜᱟᱛᱮ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
विद्यालय में नब्बे बिल्ली हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱟᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱵᱤᱲᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेरे पास तीस पाँच लड़की हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱲᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
विद्यालय में बारह सब्ज़ी हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱽᱡᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेरे पास तीस बकरी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱵᱚᱠᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बीस मछली हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सौ बंदर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱟᱸᱫᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
विद्यालय में तेरह हाथी हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेरे पास तीस नौ पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सत्रह मछली हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेज़ पर एक पेंसिल हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
यह छोटा काग़ज़ है।	ᱱᱚᱣᱟ ᱫᱚ ᱦᱩᱰᱤᱧ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
बाद में मिलते हैं	ᱛᱟᱭᱚᱢ ᱛᱮ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱚᱜᱼᱟ
