ᱫᱚ  ᱫ ᱚ
ᱠᱚ  ᱠ ᱚ
ᱨᱮ  ᱨ ᱮ
ᱟᱨ  ᱟ ᱨ
ᱜᱮ  ᱜ ᱮ
ᱛᱮ  ᱛ ᱮ
ᱮ  ᱮ
ᱦᱚᱸ  ᱦ ᱚ ᱸ
ᱠᱟᱛᱮ  ᱠ ᱟ ᱛ ᱮ
ᱟᱹᱰᱤ  ᱟ ᱹ ᱰ ᱤ
ᱦᱚᱲ  ᱦ ᱚ ᱲ
ᱚᱱᱟ  ᱚ ᱱ ᱟ
ᱵᱟᱝ  ᱵ ᱟ ᱝ
ᱠᱟᱛᱷᱟ  ᱠ ᱟ ᱛ ᱷ ᱟ
ᱨᱮᱱ  ᱨ ᱮ ᱱ
ᱠᱟᱱ  ᱠ ᱟ ᱱ
ᱠᱷᱚᱱ  ᱠ ᱷ ᱚ ᱱ
ᱢᱤᱫᱼᱟ  ᱢ ᱤ ᱫ ᱼ ᱟ
ᱩᱱᱤ  ᱩ ᱱ ᱤ
ᱞᱮᱠᱟ  ᱞ ᱮ ᱠ ᱟ
ᱱᱚᱟ  ᱱ ᱚ ᱟ
ᱟᱡᱼᱟ  ᱟ ᱡ ᱼ ᱟ
ᱢᱮᱱ  ᱢ ᱮ ᱱ
ᱫᱤᱱ  ᱫ ᱤ ᱱ
ᱫᱚᱭ  ᱫ ᱚ ᱭ
ᱨᱮᱭᱟᱜᱼᱟ  ᱨ ᱮ ᱭ ᱟ ᱜ ᱼ ᱟ
ᱧᱟᱢ  ᱧ ᱟ ᱢ
ᱤᱧ  ᱤ ᱧ
ᱞᱟᱹᱜᱤᱫᱼᱟ  ᱞ ᱟ ᱹ ᱜ ᱤ ᱫ ᱼ ᱟ
ᱠᱤᱱ  ᱠ ᱤ ᱱ
ᱠᱷᱟᱱ  ᱠ ᱷ ᱟ ᱱ
ᱪᱮᱫᱼᱟ  ᱪ ᱮ ᱫ ᱼ ᱟ
ᱚᱲᱟᱜᱼᱟ  ᱚ ᱲ ᱟ ᱜ ᱼ ᱟ
ᱢᱚᱱᱮ  ᱢ ᱚ ᱱ ᱮ
ᱟᱠᱟᱱ  ᱟ ᱠ ᱟ ᱱ
ᱢᱮᱱᱠᱷᱟᱱ  ᱢ ᱮ ᱱ ᱠ ᱷ ᱟ ᱱ
ᱠᱩᱲᱤ  ᱠ ᱩ ᱲ ᱤ
ᱜᱤᱫᱨᱟᱹ  ᱜ ᱤ ᱫ ᱨ ᱟ ᱹ
ᱵᱟᱭ  ᱵ ᱟ ᱭ
ᱠᱚᱲᱟᱹ  ᱠ ᱚ ᱲ ᱟ ᱹ
ᱚᱠᱟ  ᱚ ᱠ ᱟ
ᱨᱚᱲ  ᱨ ᱚ ᱲ
ᱧᱮᱞ  ᱧ ᱮ ᱞ
ᱢᱟ  ᱢ ᱟ
ᱵᱚᱸᱜᱟ  ᱵ ᱚ ᱸ ᱜ ᱟ
ᱢᱟᱨᱟᱝ  ᱢ ᱟ ᱨ ᱟ ᱝ
ᱮᱱᱟ।  ᱮ ᱱ ᱟ ।
ᱛᱮᱭ  ᱛ ᱮ ᱭ
ᱟᱛᱚ  ᱟ ᱛ ᱚ
ᱦᱚᱯᱚᱱ  ᱦ ᱚ ᱯ ᱚ ᱱ
ᱟ।  ᱟ ।
