उसे सिंगापुर के डिप्टी प्रधानमंत्री से सलाम किया गया और सिंगापुर के प्रधानमंत्री ली लींग लींग के साथ व्यापार और आतंकवाद मुद्दों पर चर्चा की.	ᱥᱤᱸᱜᱟᱯᱩᱨ ᱨᱤᱱ ᱩᱯ ᱯᱨᱟᱫᱷᱟᱱ ᱢᱚᱱᱛᱤᱨᱤ ᱣᱚᱸᱜ ᱠᱟᱱ ᱥᱮᱸᱜ ᱫᱚ ᱩᱱᱤᱭᱟᱜ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ ᱠᱮᱫᱮᱭᱟ ᱟᱨ ᱥᱤᱸᱜᱟᱯᱩᱨ ᱨᱤᱱ ᱢᱟᱨᱟᱝ ᱢᱚᱱᱛᱨᱤ ᱞᱤ ᱥᱤᱱ ᱞᱩᱸᱜ ᱥᱟᱶ ᱵᱮᱯᱟᱨ ᱟᱨ ᱞᱚᱞᱚ ᱦᱟᱛᱟᱝ ᱨᱮᱱᱟᱜ ᱢᱩᱫᱫᱟ ᱨᱮ ᱜᱟᱞᱚᱪ ᱠᱮᱫᱟᱭ᱾
और मैं अब हमारे सामान्य स्थान के लिए नहीं आ सकता	ᱟᱨ ᱤᱧᱫᱚ ᱟᱵᱚᱣᱟᱜ ᱥᱟᱹᱵᱤᱠ ᱴᱷᱟᱶᱨᱮ ᱵᱟᱹᱧ ᱦᱮᱡ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
इसके बाद, भारत के अतिरिक्त बैंक ने MF (SF-MF) के लिए एक विशेष 50,000 50,000 टन के लिए राशि प्राप्त करने में मदद की, जो वित्तीय बाजारों में भरोसा बहाल करने में मदद की.	ᱛᱟᱭᱚᱢ ᱫᱟᱨᱟᱢᱛᱮ, ᱠᱟᱹᱣᱰᱤ ᱞᱮᱱᱫᱮᱱ ᱨᱮᱭᱟᱜ ᱦᱟᱢᱟᱞ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫᱛᱮ ᱟᱨ ᱠᱟᱹᱣᱰᱤ ᱤᱫᱤᱠᱟᱛᱮ ᱛᱷᱤᱛᱤ ᱨᱩᱠᱷᱭᱟᱹᱭ ᱞᱟᱹᱜᱤᱫ, ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱨᱤᱡᱟᱨᱵᱷ ᱵᱮᱝᱠ ᱫᱚ ᱮᱢᱮᱯᱷᱮᱥ (ᱮᱥᱮᱞᱮᱯᱷᱼᱮᱢᱮᱯᱷ) ᱱᱤᱭᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱕᱐,᱐᱐᱐ ᱠᱳᱴᱤ ᱴᱟᱠᱟ ᱨᱮᱭᱟᱜ ᱢᱤᱴᱴᱮᱱ ᱵᱤᱥᱟᱹᱥ ᱠᱟᱹᱣᱰᱤ ᱥᱩᱵᱤᱫᱷᱟ ᱨᱮᱭᱮ ᱛᱟᱲᱟᱢᱟᱠᱟᱫᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱠᱟᱹᱣᱰᱤᱭᱟᱱᱟᱜ ᱵᱟᱡᱟᱨ ᱨᱮ ᱟᱥ ᱟᱹᱜᱩᱭ ᱨᱮᱭᱮ ᱜᱚᱲᱚᱣᱟᱠᱟᱱᱟ ᱾
बेशक, उसे भारतीय संविधान का पिता कहा जाता है ।	ᱱᱤᱦᱟᱹᱛᱜᱤ! ᱩᱱᱤ ᱫᱚ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱥᱚᱝᱵᱤᱫᱷᱟᱱᱨᱮᱱ ᱚᱱᱚᱞᱤᱭᱟᱹ ᱠᱟᱱᱟᱭ ᱾
मुझे अभी भी बेंगलुरु से मंगलुरु तक विस्टाडोम ट्रेन में देखा गया खूबसूरत नज़ारा याद है।	ᱵᱮᱝᱜᱟᱞᱩᱨᱩ ᱠᱷᱚᱱ ᱢᱮᱝᱜᱟᱞᱩᱨᱩ ᱫᱷᱟᱹᱵᱤᱡ ᱵᱷᱤᱥᱛᱟᱰᱳᱢ ᱴᱨᱮᱱ ᱨᱮ ᱡᱟᱦᱟᱸ ᱱᱟᱯᱟᱭ ᱧᱮᱞᱧᱟᱢᱚᱜ ᱠᱚᱧ ᱧᱮᱞ ᱞᱮᱫᱟ ᱚᱱᱟ ᱫᱚ ᱱᱤᱛᱦᱚᱸ ᱤᱧᱟᱜ ᱫᱤᱥᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱾
गोल्डबर्ग का वाशिंगटन, डी.सी. में 81 वर्ष की आयु में दिल का दौरा पड़ने से निधन हो गया।	ᱜᱳᱞᱰᱵᱟᱨᱜ ᱫᱚ ᱘᱑ ᱥᱮᱨᱢᱟ ᱩᱢᱮᱨ ᱨᱮ ᱳᱣᱟᱥᱤᱝᱴᱚᱱ, ᱰᱤ ᱥᱤ ᱨᱮ ᱨᱤᱫᱚᱭ ᱦᱟᱹᱥᱩ ᱨᱮᱭᱟᱜ ᱡᱟᱞᱟᱛᱮᱭ ᱜᱚᱪ ᱞᱮᱱᱟ ᱾
ᱟᱢ ᱥᱟᱶ ᱧᱟᱯᱟᱢ ᱠᱟᱛᱮ ᱠᱩᱥᱤ ᱮᱱᱟᱹᱧ	आपसे मिलकर अच्छा लगा
मुझे वह अहसास बहुत पसंद है जब कोई वाहन चालक चौराहे पर मुझसे पहले निकलने का इशारा करता है।	ᱤᱧ ᱟᱹᱭᱠᱟᱹᱣᱤᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱡᱚᱠᱷᱚᱱ ᱢᱤᱫ ᱦᱚᱲ ᱢᱚᱴᱚᱨ ᱪᱟᱞᱟᱣᱤᱪ ᱤᱧ ᱢᱤᱫᱴᱟᱝ ᱜᱩᱞᱤᱨᱮ ᱪᱟᱞᱟᱣᱮ ᱢᱮᱛᱟᱫᱤᱧᱟ ᱾
एक, दो, तीन, चार, पाँच, छः, सात, आठ, नौ, दस।	ᱢᱤᱫ, ᱵᱟᱨ, ᱯᱮ, ᱯᱳᱱ, ᱢᱚᱬᱮ, ᱛᱩᱨᱩᱭ, ᱮᱭᱟᱭ, ᱟᱨ, ᱱᱟᱭ, ᱜᱮᱞ।
एनसीडी में अनेक पर्यावरण रोग हैं जो बाहरी तत्त्वों, पोषण, प्रदूषण, और जीवन - शैली चुनावों के कारण उत्पन्‍न किए गए मानव स्वास्थ्य परिस्थितियों के व्यापक वर्ग को ढकते हैं और उन्हें बनाए रखते हैं ।	ᱮᱱᱹᱥᱤᱹᱰᱤ ᱥᱮᱞᱮᱫ ᱠᱟᱛᱮ ᱟᱭᱢᱟ ᱥᱟᱪᱟᱨᱦᱮᱫ ᱟᱱᱟᱜ ᱟᱡᱟᱨ ᱥᱮ ᱢᱟᱹᱱᱢᱤ ᱦᱚᱲᱢᱚᱥᱟᱶᱟᱨ ᱵᱟᱜᱤᱞᱮᱠ ᱟᱨ ᱵᱮᱼᱵᱟᱜᱤᱞᱮᱠ ᱦᱟᱞᱚᱛ ᱨᱮᱭᱟᱜ ᱯᱟᱥᱱᱟᱣ ᱟᱠᱟᱱ ᱛᱷᱚᱱᱚᱛ ᱫᱚ ᱠᱚᱵᱷᱟᱨ ᱮᱫᱟᱭ, ᱡᱟᱦᱟᱸ ᱪᱟᱸᱫᱳᱣᱟᱜ ᱟᱨᱥᱟᱞ, ᱯᱩᱥᱴᱤ, ᱵᱤᱥᱟᱹᱣ ᱟᱨ ᱡᱤᱭᱚᱱᱫᱷᱟᱨᱟ ᱨᱮᱭᱟᱜ ᱵᱷᱮᱜᱟᱨ ᱞᱮᱠᱟᱱ ᱵᱟᱦᱮᱨ ᱚᱡᱮᱠᱚ ᱫᱟᱨᱟᱭ ᱛᱮ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱱᱟ ᱾
