train_santalimale_00001	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲ ᱫᱚ, ᱵᱷᱟᱨᱚᱛ ᱫᱤᱥᱚᱢ ᱨᱮᱱ ᱟᱹᱫ ᱵᱩᱱᱤᱭᱚᱫ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ।
train_santalimale_00002	ᱟᱵᱚ ᱨᱮᱱ ᱟᱹᱫᱢᱟᱱᱣᱟ ᱫᱚ ᱯᱤᱞᱪᱩ ᱦᱟᱲᱟᱹᱢ ᱟᱨ ᱯᱤᱞᱪᱩ ᱵᱩᱲᱦᱤ ᱠᱚ ᱢᱮᱛᱟ ᱠᱤᱱ ᱛᱟᱸᱦᱮᱸᱠᱟᱱᱟ।
train_santalimale_00003	ᱩᱱᱚᱠᱤᱱ ᱨᱮᱱ ᱯᱚᱸᱜᱯᱚᱸᱜᱲᱟᱹ ᱜᱮ ᱦᱚᱲ, ᱠᱷᱮᱨᱣᱟᱞ ᱟᱨ ᱥᱟᱱᱛᱟᱲ ᱧᱩᱛᱩᱢ ᱛᱮ ᱵᱷᱟᱨᱚᱛ ᱫᱤᱥᱚᱢ ᱨᱮᱱᱟ ᱡᱷᱟᱨᱚᱠᱷᱚᱬᱰ, ᱵᱤᱦᱟᱨ, ᱩᱲᱤᱥᱟ, ᱯᱚᱥᱪᱤᱢ ᱵᱸᱜᱟᱞ, ᱪᱷᱚᱛᱛᱤᱥᱚᱜᱚᱲ, ᱟᱥᱟᱢ, ᱱᱟᱜᱟᱞᱮᱭᱬᱰ, ᱢᱚᱫᱷᱭᱚᱯᱨᱫᱮᱥ ᱯᱚᱱᱚᱫᱼᱟ ᱠᱨᱮ ᱫᱚ ᱵᱟᱰᱛᱤ ᱠᱟᱛᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱵᱚᱱᱟ।
train_santalimale_00004	ᱱᱚᱣᱟ ᱯᱚᱱᱚᱫᱼᱟ ᱠᱚ ᱪᱷᱟᱲᱟᱹ ᱠᱟᱛᱮᱨᱮ ᱦᱚᱸ ᱮᱴᱟᱜᱼᱟ ᱯᱚᱱᱚᱛᱠᱚ ᱨᱮᱦᱚᱸ ᱢᱮᱱᱟᱜᱼᱟ ᱵᱚᱱ ᱜᱮᱭᱟ।
train_santalimale_00005	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚ ᱫᱚ ᱪᱟᱥᱤᱵᱟᱥᱤ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ।
train_santalimale_00006	ᱟᱵᱚᱣᱟᱷ ᱢᱟᱨᱟᱝ ᱠᱟ ᱠᱟᱹᱢᱤ ᱫᱚ ᱪᱟᱥ ᱵᱟᱥ ᱜᱮ ᱠᱟᱱᱟ।
train_santalimale_00007	ᱪᱟᱥ ᱵᱟᱥ ᱥᱟᱸᱣᱛᱮ ᱡᱤᱵ ᱡᱤᱭᱟᱹᱞᱤ ᱟᱥᱩᱞ ᱦᱚᱸ ᱡᱤᱵᱼᱟᱠᱟ ᱫᱚ ᱠᱟᱱᱜᱮᱭᱟ।
train_santalimale_00008	ᱟᱵᱚ ᱫᱚ ᱰᱟᱸᱜᱨᱤ, ᱰᱟᱸᱜᱨᱟ, ᱢᱤᱭᱦᱩ, ᱢᱮᱨᱚᱢ, ᱵᱷᱤᱰᱤ, ᱥᱤᱢ, ᱥᱩᱠᱨᱤ, ᱜᱮᱰᱮ, ᱮᱢᱟᱱ ᱟᱥᱩᱞ ᱡᱟᱱᱣᱟᱨ ᱠᱚ ᱟᱥᱩᱞ ᱠᱚᱣᱟ ᱵᱚᱱ।
train_santalimale_00009	ᱵᱤᱨ ᱵᱩᱨᱩ ᱨᱮᱱᱟᱷ ᱫᱟᱨᱮ ᱱᱟᱹᱲᱤ ᱨᱮᱦᱮᱛᱥᱮᱸᱫᱮᱫᱼᱟ ᱯᱟᱱᱛᱮ, ᱟᱞᱩ ᱫᱟᱠᱚ ᱞᱟ, ᱵᱤᱨ ᱵᱩᱨᱩ ᱨᱮ ᱥᱮᱸᱫᱨᱟ, ᱜᱟᱰᱟ ᱢᱩᱰᱩ ᱨᱮ ᱦᱟᱠᱩ ᱠᱟᱴᱠᱚᱢ ᱜᱚᱡᱼᱟ ᱦᱚᱸ ᱡᱤᱵᱼᱟᱠᱟ ᱠᱟᱱ ᱜᱮᱭᱟ।
train_santalimale_00010	ᱱᱚᱣᱟ ᱠᱚ ᱪᱷᱟᱲᱟᱹ ᱠᱟᱛᱮ ᱮᱴᱟ: ᱠᱟᱹᱢᱤ ᱠᱟᱛᱮᱦᱚᱸ ᱟᱹᱥᱩᱞᱚ ᱨᱮᱱᱟ: ᱦᱚᱲ ᱫᱚ ᱠᱟᱱ ᱜᱮᱭᱟ।
