Unnamed: 0,Santali,English,Hindi
25842,"ᱰᱮᱱᱳ ᱑ᱹ᱐ ᱫᱚ ᱑᱓ ᱢᱮ, ᱒᱐᱒᱐ ᱨᱮ ᱪᱷᱟᱹᱲᱮ ᱧᱟᱢ ᱞᱮᱫᱟ ᱾","Deno 1.0 was released on May 13, 2020.","डिनो 1.0 (Deno 1.0) 13 मई, 2020 को जारी किया गया था।"
35842,ᱰᱮᱱᱩᱵᱷᱳ ᱥᱚᱯᱷᱴᱳᱣᱮᱨ ᱥᱚᱞᱤᱣᱥᱚᱱᱥ ᱡᱤ ᱮᱢ ᱵᱤ ᱮᱭᱤᱪ ᱫᱚ ᱤᱨᱰᱮᱴᱳ ᱨᱮᱱ ᱢᱤᱫᱴᱟᱝ ᱜᱚᱲᱚᱭᱤᱡ ᱠᱟᱱᱟᱭ ᱾,Denuvo Software Solutions GmbH is a subsidary of Irdeto.,डेनुवो सॉफ्टवेयर सॉल्यूशंस GmbH इर्डेटो (Irdeto) की एक सहायक कंपनी है।
45842,ᱟᱭᱢᱟ ᱯᱚᱛᱚᱵ ᱠᱚᱜᱮ ᱵᱤᱥᱟᱹᱥ ᱥᱚᱯᱷᱴᱳᱣᱮᱨ ᱨᱮᱭᱟᱜ ᱵᱚᱨᱱᱚᱱ ᱨᱮ ᱠᱚ ᱜᱟᱹᱠᱷᱩᱲᱟ ᱾,Many books specialise in the details of particular software.,कई पुस्तकें विशेष सॉफ्टवेयर के विवरण में विशेषज्ञता रखती हैं।
55842,ᱰᱤᱴᱟᱨᱢᱤᱱᱤᱥᱴᱤᱠ ᱮᱞᱜᱚᱨᱤᱛᱷᱚᱢ ᱰᱤᱴᱟᱨᱢᱤᱱᱤᱥᱴᱤᱠ ᱮᱞᱜᱚᱨᱤᱛᱷᱚᱢ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱠᱚᱢᱯᱤᱭᱩᱴᱟᱨ ᱥᱟᱸᱬᱮᱥ ᱨᱮᱭᱟᱜ ᱟᱹᱲᱟᱹ ᱾,Deterministic algorithm  A deterministic algorithm is a computer science term.,डिटर्मिनिस्टिक एल्गोरिदम: एक डिटर्मिनिस्टिक एल्गोरिदम कंप्यूटर विज्ञान का एक शब्द है।
65842,ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱥᱤ ᱠᱚᱢᱯᱟᱭᱞᱟᱨ ᱟᱨ ᱢᱤᱫᱴᱟᱝ ᱮᱥᱮᱢᱵᱞᱟᱨ ᱥᱟᱶ ᱦᱩᱡᱩᱜᱼᱟ ᱾,It comes with a C compiler and an assembler.,यह एक सी (C) कंपाइलर और एक असेंबलर के साथ आता है।
75842,"ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱦᱮᱰᱠᱩᱣᱟᱴᱟᱨ ᱫᱚ ᱦᱚᱞᱤᱭᱩᱰ ᱮᱞᱟᱠᱟ ᱨᱮᱭᱟᱜ ᱞᱚᱥ ᱮᱧᱡᱮᱞᱥ, ᱠᱮᱞᱤᱯᱷᱳᱨᱱᱤᱭᱟ ᱨᱮ ᱾","It is headquartered in the Hollywood area of Los Angeles, California.","इसका मुख्यालय लॉस एंजिल्स, कैलिफोर्निया के हॉलीवुड क्षेत्र में स्थित है।"
85842,ᱱᱚᱣᱟ ᱥᱚᱯᱷᱴᱳᱣᱮᱨ ᱫᱚ ᱟᱡ ᱟᱡᱛᱮᱜᱮ ᱥᱩᱪᱚᱠ ᱟᱨ ᱮᱴᱟᱜ ᱦᱤᱸᱥ ᱨᱮᱭᱟᱜ ᱥᱟᱛᱟᱠ ᱠᱚᱭ ᱵᱮᱱᱟᱣᱼᱟ ᱾,This software automatically generated indices and other body matter.,यह सॉफ्टवेयर स्वचालित रूप से अनुक्रमणिका (सूचकांक) और अन्य मुख्य सामग्री तैयार करता था।
95842,ᱴᱟᱭᱯᱳᱜᱨᱟᱯᱷᱤ ᱥᱳᱭᱞᱤ ᱫᱚ ᱥᱴᱟᱭᱤᱞ ᱥᱤᱴ ᱥᱟᱣ ᱟᱡ ᱟᱡᱛᱮᱜᱮ ᱯᱟᱲᱦᱟᱣ ᱨᱮ ᱵᱮᱵᱚᱦᱟᱨ ᱜᱟᱱᱚᱜᱼᱟ ᱾,Typography styles may be applied to text automatically with style sheets.,स्टाइल शीट की मदद से टेक्स्ट पर टाइपोग्राफी शैलियाँ स्वचालित रूप से लागू की जा सकती हैं।
105842,ᱠᱤᱪᱷᱩ ᱞᱮ ᱟᱣᱩᱴ ᱯᱨᱳᱜᱨᱟᱢ ᱨᱮ ᱴᱮᱠᱥᱴ ᱪᱷᱟᱰᱟ ᱦᱚᱸ ᱪᱤᱛᱟᱹᱨ ᱞᱟᱹᱜᱤᱫ ᱥᱴᱟᱭᱤᱞ ᱥᱤᱴ ᱵᱷᱚᱨᱟᱣ ᱛᱟᱦᱮᱱᱟ ᱾,Some layout programs include style sheets for images in addition to text.,कुछ लेआउट प्रोग्रामों में टेक्स्ट के अलावा छवियों के लिए भी स्टाइल शीट शामिल होती हैं।
115842,ᱱᱚᱣᱟ ᱯᱮᱭᱟ ᱰᱮᱥᱠᱴᱚᱯ ᱫᱚ ᱥᱤᱥᱴᱟᱢ ᱨᱮ ᱥᱟᱠᱟᱢ ᱞᱮ ᱟᱣᱩᱴ ᱰᱤᱡᱟᱭᱤᱱ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱥᱟᱛᱟᱢ ᱠᱚᱭ ᱥᱮᱬᱟᱭᱟ ᱾,These three teach the basics of page layout design on desktop systems.,ये तीनों डेस्कटॉप सिस्टम पर पेज लेआउट डिज़ाइन की बुनियादी बातें सिखाते हैं।
