id,hindi,santali
1,"अब हमारे पास 4 महीने के चूहे हैं कि अविभ्यिक हैं जो अभ्य्य्य हैं, वह जोड़ा गया.","⁣ᱩᱱᱤ ᱞᱟᱹᱭ ᱠᱮᱜ-ᱟᱭ, ""ᱟᱞᱮ ᱴᱷᱮᱱ ᱔ ᱪᱟᱸᱫᱚ ᱨᱤᱱᱤᱡ ᱜᱩᱰᱩ ᱢᱮᱱᱟᱭᱟ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱵᱟᱭ ᱰᱟᱭᱵᱮᱴᱤᱥᱟ ᱩᱱᱤ ᱯᱩᱭᱞᱩ ᱰᱟᱭᱵᱮᱴᱤᱥ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ᱾"""
2,इस बारे में एहूद ऊर नाम के एक डॉक्टर ने चेतावनी दी कि कनाडा की डायबिटीज़ की जाँच के शुरूआती दिनों में भी चल रही है ।,"ᱰᱨᱹ ᱮᱦᱩᱫᱽ ᱩᱨ, ᱦᱟᱞᱤᱯᱷᱟᱠᱥ ᱨᱮᱭᱟᱜ ᱰᱟᱞᱦᱟᱣᱥᱤ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱤᱱᱤᱡ ᱢᱮᱰᱤᱥᱤᱱ ᱯᱨᱚᱯᱷᱮᱥᱟᱨ, ᱱᱚᱣᱟ ᱥᱠᱚᱴᱤᱭᱟ ᱟᱨ ᱪᱮᱭᱟᱨ ᱚᱯᱷ ᱠᱞᱤᱱᱤᱠᱟᱞ ᱟᱨ ᱠᱟᱱᱟᱰᱤᱭᱟᱱ ᱰᱟᱭᱵᱮᱴᱤᱥ ᱜᱟᱶᱛᱟ ᱨᱮᱭᱟᱜ ᱥᱟᱬᱮᱥᱤᱭᱟᱹ ᱪᱟᱸᱜᱟ ᱠᱚ ᱥᱟᱣᱫᱷᱟᱱ ᱟᱠᱟᱫᱟ ᱡᱮ ᱠᱷᱚᱡᱽ ᱫᱚ ᱮᱛᱚᱦᱚᱵ ᱢᱟᱦᱟᱸ ᱨᱮᱜᱮ ᱢᱮᱱᱟᱜᱼᱟ᱾"
3,"कुछ अन्य विशेषज्ञों की तरह, वह इस बात पर संदेह करता है कि डायबिटीज़ ठीक हो सकती है या नहीं ।","ᱮᱴᱟᱜ ᱜᱟᱹᱠᱷᱩᱲᱟᱱ ᱦᱚᱲ ᱠᱚ ᱞᱮᱠᱟ, ᱩᱱᱤ ᱰᱟᱭᱵᱮᱴᱤᱥ ᱠᱷᱚᱱ ᱠᱚ ᱵᱮᱥᱚᱜ-ᱟ‌ ᱢᱮᱱᱛᱮ ᱦᱤᱫᱤᱡᱚᱜ ᱠᱟᱱᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱑ ᱰᱟᱭᱵᱮᱴᱤᱥ ᱞᱮᱠᱟᱱ ᱠᱩᱫ ᱦᱚᱲ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫ ᱦᱚᱸ ᱡᱚᱲᱟᱣ ᱜᱮ ᱵᱟᱹᱱᱩᱜ-ᱟ᱾"
4,"सन्‌ 2016 में, सन्‌ 1616 की जीत के बारे में बॉब डेंटन शहर में जीत हासिल करने में नाकाम रहा ।","ᱚᱛᱮ ᱢᱟᱦᱟᱸ, ᱥᱟᱨᱟ ᱰᱟᱱᱤᱭᱚᱥ, ᱥᱣᱮᱫᱤᱥ ᱟᱠᱟᱫᱮᱢᱤ ᱥᱟᱶᱦᱮᱫ ᱨᱮᱭᱟᱜ ᱱᱩᱵᱮᱞ ᱠᱩᱢᱩᱴ ᱨᱤᱱᱤᱡ ᱛᱷᱟᱱᱤᱛ ᱥᱩᱛᱨᱮᱛ, ᱥᱣᱮᱨᱤᱜᱽᱥ ᱨᱤᱰᱤᱭᱚ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱯᱨᱚᱜᱨᱟᱢᱚᱨ ᱨᱮ ᱦᱚᱲ ᱛᱟᱞᱟᱨᱮ ᱞᱟᱹᱭ ᱞᱮᱜ-ᱟᱭ ᱡᱮ ᱒᱐᱑᱖ ᱨᱮ ᱥᱟᱶᱦᱮᱫ ᱨᱤᱱᱤᱡ ᱱᱳᱵᱮᱞ ᱡᱤᱛᱠᱟᱹᱨᱤᱭᱟᱹ ᱵᱚᱵᱽ ᱰᱟᱭᱞᱟᱱ ᱴᱷᱮᱱ ᱵᱟᱝ ᱥᱮᱴᱮᱨ ᱞᱮᱱᱟ, ᱱᱚᱶᱟ ᱫᱚ ᱚᱱᱟ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱠᱩᱨᱩᱢᱩᱴᱩ᱾"
5,"दानियुस ने कहा, अभी हम कुछ नहीं कर रहे हैं; मैं ने अपने सबसे निकट सहयोगियों को बुलाकर, बहुत ही दोस्ताना उत्तर दिए हैं।","ᱰᱟᱱᱤᱭᱚᱥ ᱞᱟᱹᱭ ᱠᱮᱫᱟᱭ, ""ᱱᱤᱛᱚᱜ ᱫᱚ ᱟᱞᱮ ᱪᱮᱫ ᱦᱚᱸ ᱵᱟᱞᱮ ᱪᱤᱠᱟᱹᱭᱮᱫᱟ᱾ ᱤᱧ ᱟᱡᱤᱡ ᱜᱟᱛᱮ ᱴᱷᱮᱱ ᱯᱷᱚᱱ ᱟᱨ ᱤᱢᱮᱞ ᱞᱮᱫᱟ ᱟᱨ ᱟᱡ ᱠᱷᱟᱱ ᱟᱹᱰᱤ ᱜᱟᱛᱮ ᱞᱮᱠᱟᱱ ᱛᱮᱞᱟᱧ ᱧᱟᱢ ᱨᱩᱣᱟᱹᱲ ᱞᱮᱫᱟ᱾ ᱱᱤᱛ ᱵᱷᱩᱨ, ᱚᱱᱟᱜᱮ ᱡᱟᱹᱥᱛᱤᱭᱟ᱾"""
6,"पहले, Ringsing Cannfffff, कंपनी ने कहा कि जब उसकी दरवाजे से उसकी दुकान से नहीं बोल रहा था.","ᱱᱟᱶᱟ ᱠᱷᱚᱱ ᱢᱟᱬᱟᱝᱨᱮ, ᱨᱤᱝ-ᱤᱡ ᱥᱤᱹᱤᱹᱳᱹ, ᱡᱟᱢᱤᱭ ᱥᱤᱢᱤᱱᱚᱯᱷ, ᱞᱟᱹᱭ ᱞᱮᱜ-ᱟᱭ ᱡᱮ ᱠᱩᱢᱯᱟᱹᱱᱤ ᱫᱚ ᱩᱱᱨᱮ ᱮᱛᱚᱦᱚᱵ ᱞᱮᱱᱟ ᱡᱟᱦᱟᱸᱛᱤᱥ ᱟᱡᱟᱜ ᱜᱮᱨᱮᱡᱽ ᱨᱮᱭᱟᱜ ᱥᱤᱞᱯᱤᱧ ᱜᱷᱟᱹᱱᱴᱤ ᱟᱡᱟᱜ ᱫᱚᱠᱟᱱᱨᱮ ᱵᱟᱝ ᱥᱟᱰᱮ ᱠᱟᱱ ᱛᱟᱦᱮᱸᱫ᱾"
7,"उन्होंने कहा कि एक विफ़िक दरवाजा घंटी बनाया, उसने कहा.","ᱩᱱᱤ ᱞᱟᱹᱭ ᱠᱮᱰ-ᱟ, ᱩᱱᱤ ᱫᱚ ᱢᱤᱫ ᱣᱟᱭᱯᱷᱟᱭ ᱫᱩᱣᱟᱹᱨ ᱜᱷᱟᱱᱴᱤ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱫ-ᱟᱭ᱾"
8,"एक शार्क पक्षी ने कहा कि सन्‌ 2013 की एक घटना पर गौर करने से पता चलता है कि हाल ही में उसने जो पैसा जमा किया था, उसके बाद उसकी बिक्री बढ़ गयी ।",ᱥᱤᱢᱤᱱᱚᱯᱷ ᱞᱟᱹᱭ ᱟᱠᱟᱫ-ᱟᱭ ᱡᱮ ᱒᱐᱑᱓ ᱥᱟᱨᱠ ᱴᱮᱸᱠ ᱮᱯᱤᱥᱳᱰ ᱨᱮ ᱟᱡ ᱦᱮᱡ ᱞᱮᱱ ᱛᱟᱭᱚᱢ ᱟᱹᱠᱷᱨᱤᱧ ᱰᱷᱮᱨ ᱞᱮᱱᱟ ᱡᱟᱦᱟᱸᱨᱮ ᱥᱳ ᱯᱟᱱᱮᱞ ᱫᱚ ᱥᱴᱟᱴᱚᱯ ᱞᱟᱹᱜᱤᱱ ᱛᱮ ᱯᱩᱭᱥᱟᱹ ᱮᱢᱚᱜ-ᱮ ᱢᱟᱱᱟ ᱞᱮᱜ-ᱟI
9,"सन्‌ 2017 के आखिर में, टी. वी.","᱒᱐᱑᱗ ᱢᱩᱪᱟᱹᱫ ᱨᱮ, ᱥᱤᱢᱤᱱᱚᱯᱷ ᱧᱮᱱᱮᱞᱚᱢ ᱪᱟᱱᱮᱞ QVC ᱨᱮ ᱧᱮᱞ ᱞᱮᱱᱟ᱾"
10,"इसके अलावा, ए. डी. ए. डी.","ᱨᱤᱝ ᱫᱚ ᱟᱨᱦᱚᱸ ᱦᱮᱯᱨᱟᱣ ᱥᱩᱨᱚᱠᱷᱭᱟ ᱠᱚᱢᱯᱟᱱᱤ, ᱮ.ᱰᱤ.ᱴᱤ ᱠᱚᱨᱯᱚᱨᱮᱥᱚᱱ ᱥᱟᱶ ᱢᱚᱠᱚᱨᱫᱚᱢᱟ ᱚᱝᱥᱟᱨ ᱥᱚᱞᱦᱮ ᱟᱠᱟᱫ-ᱟᱭI"
11,"जबकि एक प्रयोगात्मक वैक्सीन अब तक ऐरोकामा की मृत्यु को कम करने में समर्थ हुई है, कोई भी दवा स्पष्ट रूप से मौजूदा संक्रमण का इलाज करने के लिए उपयुक्‍त साबित नहीं हुई है ।","ᱢᱤᱫ ᱮᱠᱥᱯᱮᱨᱤᱢᱮᱱᱴᱟᱞ ᱵᱷᱮᱠᱥᱤᱱ ᱤᱵᱳᱞᱟ ᱛᱮ ᱜᱩᱡᱩᱜ-ᱮ ᱠᱚᱢ ᱞᱮᱜ-ᱟ, ᱱᱤᱛ ᱵᱷᱩᱨ ᱛᱮ, ᱪᱮᱫ  ᱨᱟᱱ ᱠᱚᱦᱚᱸ ᱱᱚᱶᱟ ᱤᱱᱯᱷᱮᱠᱥᱚᱱ ᱠᱷᱚᱱ ᱨᱩᱠᱷᱤᱭᱟᱹᱜ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱝ ᱠᱚ ᱥᱚᱫᱚᱨ ᱞᱮᱜ-ᱟ᱾"
12,"शुरू - शुरू में, सीएमप्पे ने वादा किया था कि एक व्यक्‍ति को मौत को रोकने में कोई फायदा नहीं होगा ।","ᱢᱤᱫ ᱟᱱᱴᱤᱵᱚᱰᱤ ᱠᱚᱠᱴᱮᱞ, ZMapp, ᱱᱚᱶᱟ ᱡᱟᱭᱜᱟ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱯᱟᱭ ᱥᱟᱹᱵᱤᱛ ᱞᱮᱱᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱯᱟᱲᱦᱟᱣ ᱫᱚᱭ ᱩᱫᱩᱜᱮᱜ-ᱟ ᱡᱮ ᱦᱚᱲ ᱜᱩᱡᱩᱜ ᱟᱠᱚᱴ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱶᱟ ᱵᱟᱭ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ᱾"
13,सी.) का इस्तेमाल करते थे और उसके तीन अन्य उपचारों की तुलना करते थे ।,"PALM ᱴᱨᱟᱭᱮᱞ ᱨᱮ , ZMapp ᱫᱚ ᱢᱤᱫ ᱠᱚᱵᱚᱡᱽ ᱞᱮᱠᱟᱭ ᱠᱟᱹᱢᱤ ᱠᱮᱜ-ᱟ, ᱢᱮᱱᱮᱛ ᱥᱟᱬᱮᱥᱤᱭᱟᱹ ᱠᱚ ᱱᱚᱶᱟ ᱢᱤᱫ ᱵᱮᱥᱞᱟᱭᱤᱱ ᱞᱮᱠᱟ ᱠᱚ ᱵᱮᱵᱷᱟᱨ ᱠᱮᱜ-ᱟ ᱟᱨ ᱮᱴᱟᱜ ᱯᱮᱭᱟ ᱴᱨᱤᱴᱢᱮᱸᱴ ᱥᱟᱶ ᱱᱚᱶᱟ ᱠᱚ ᱡᱚᱠᱷᱟ ᱠᱮᱜ-ᱟ᱾"
14,यू. यू. एस. ए.,USA ᱡᱤᱢᱱᱟᱥᱴᱤᱠ ᱭᱩᱱᱟᱭᱴᱮᱰ ᱥᱴᱮᱴᱥ-ᱟᱜ ᱚᱞᱢᱯᱤᱠ ᱠᱩᱢᱩᱴᱟᱜ ᱪᱤᱴᱷᱤ ᱠᱚ ᱢᱟᱱᱟᱣᱮᱫᱟ ᱟᱨ ᱚᱞᱚᱢᱯᱤᱠ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱨᱮᱭᱟᱜ ᱡᱟᱦᱟᱸ ᱠᱷᱚᱡᱽ ᱠᱚ ᱢᱟᱱᱟᱣ ᱟᱛᱮ ᱥᱟᱱᱟᱢ ᱠᱷᱮᱞᱚᱸᱰᱤᱭᱟᱹ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱯᱟᱭ ᱥᱟᱪᱟᱨᱦᱮ ᱠᱚ ᱯᱟᱥᱱᱟᱣᱮᱫᱟ᱾
