इसका कारण जानने की कोशिश करें।	नेआ रअः कारण सरिन रअः कोसिसेपे।
उनकी सबसे अधिक रचनाएँ अंग्रेजी में हैं।	इनकुआः सोबेनकोआते साङगि ओनोल अङग्रेजी रे मेनाः।
घर पहुंचने के बाद देखा कि छोटा लड़का तो मोटे तगडे बैल लेकर आया है।	ओड़अ तेवा लो दो लेल ज कोअ चि लिटा कोड़ा पोकतो- पोकतो हड़ा को हराउ तअ कोअ।
लश्कर ए तैयबा ने तो इशरत को शहीद भी माना।	लश्कर-ए-तैयबा इशरत के शहीद मनातिंग कि:आ
तवारीख के लेखक सचिव, प्रशासक, कवि और दरबारियों जैसे सुशिक्षित व्यक्ति होते थे ।	तवारीख रेन ओनोल हरिअ गोमके, राइज चचलाओ गोमके को दुरङ हरिअ ओड़ो: हकिम दुअर रे तइनको लेकन, सेड़ान होड़ो कोको तइन तन तइकेना ।
मुलायम सिंह का तो मतलब ही नहीं।	मुलायम सिंहआः दो मोतलोब गे बानोः।
ग़ज़ल कभी बहुत ज्यादा लिखी नहीं।	ग़ज़ल जां इमतुङ साङगि काञ ओल लाः।
सेरेंग चेतन चेतन तेदोअग चिमइ सेन लेदो- चट्टानो के ऊपर से है बालिका तुम चली	सेरेंग चेतन चेतन तेदो अम चिमइ सेन लेद
आज रेलवे में, आप देखते होंगे कि हमारे काम की range क्या है।	तिसिङ अबु रेल गाड़ि रे, अबुबु लेल जदा चि अबुआ: कमि रअ: range चिनअ: तना।
टहनी पर से गिरने को है।	कोतोआते नेःगे उयुगोआ।
मजदूरों की संख्या कम है।	कमितन कोअः लेनेका कोम मेनअः।
अपने बेटे को इससे दूर रहने की सलाह दें।	अपनअः होनको के नेआ ते संगिन रे तइनोः रेअः सलाह ओमे लगातिंग।
इस प्रकार के पत्थर से यह प्रमाणित होता है कि वह व्यक्ति गाँव से या जाति से बहिश्कृत है। बहिश्कृत व्यक्ति का छाया भी घर में प्रवेष नहीं कराया जाता है।	गोए: जनरे, एनका छिलनाकनकोअः उम्बूलो का अदेरो: तना।
इस मामले में लंकाई संस्कृति का धु्रवीकरण हो चुका है।	नेआ मामला रे लङकाअ सासाङकिर धुरवीकरण होबा काना।
फ़िर मन्दिर वाली गली एक मेन रोड से।	ओड़ोः मंदिल होरा हाटिया मिआद मुद संडका (मेन रोड) ते।
घर में अकेले रहने में बड़ा आनन्द आता है।	ओड़ाः रे एसेकार ताइनोः रे माजा टोओरोःआ
हाँ, इस प्रकार की बातों को हम दोनों बहुत अधिक पसंद करते हैं और जब-जब भेंट होती है इसी प्रकार की वार्ता छेड़ते हैं और छेड़ेंगे ही।	हे, नेकन जगर को अलं इसु पुरः लं सुकुअः अद् नपम परतेद नेकनः जगर गे लं जपगर जदा। अर लं जपगरे गेया।
हंगेरा- यह सही है।	हंगेरा - एनादो हेगे।
पा में मैंने हल्के बॉर्डर वाली सिंपल साड़ी पहनी है।	पा रे आञ एताङ बॉर्डर राः सिम्पल साड़ी तुसिङलाःञ।
ना वो आपका आध्यात्मिक विकास होता है।	एना: आमा: आध्यात्मिक विकासो: का ताइना।
के मनोरंजन की अपनी खास विधाएं है।	रआः रासिका रआः मिआद खास गुन मेनाः।
जी हाँ बहुत प्यारे बोल हैं पुरबियों के।	हे गा इसु दुलाड़ा जागार मेनाः सिंगितुरोः रेनकोआ।
कोबरा हेलीकाप्टरों द्वारा सेना की मदद की जा रही है।	कोबरा हेलीकाप्टर ते सेना के मदइत वो: तना: को
हम सबने मिलकर के करना है।	अबु सोबेन को जमा कोअते रिका लगातिडअ।
क्या इन स्थितियों में गेंद की गति की दिशा में कोई परिवर्तन होता है ?	चनअः ने स्थिति कोरे गेंदा रअः गति रअः दिसा रे जान परिवर्तन होबाओःआ ?
हमारा जीवन चक्र ग्रहों की गति और चाल	आले जिदान चक्र ग्रहको राः सेसेन
घातवर्ध्य (malleable), तन्य और ताप सुचालक होने के कारण ताँबे का उपयोग मुख्यतः बिजली के तार बनाने, इलैक्ट्रोनिक्स और रसायन उद्योगों में किया जाता है।	घातवर्ध्य, तन्य ओड़ोः ताप सुचालक रअः ते ताँबा रअः उपयोग बिसेस लेकाते बिजली रअः तार बइ रे, इलैक्ट्रोनिक्स अर रसायन उद्योग कोरे होबाओः तना।
जबकि हैदराबाद की तीन मैचों में यह पहली हार है।	इमिन रेओ हैदराबाद रेअः अपि मैच रे नेया सिदा हरातिंग तनअः।
उसने लड़के को प्यार भरी नज़रों से देखा।	इनि कोड़ा होन के इसु दुलाड़ा मेद् ते लेल किआ।
फिर इस विवाद का निपटारा किसने किया ?	ओड़ोः ने विवाद को ओकोए सुलझाव जदा ?
बेहतरीन समीक्षा की है आपने।	बुगी लेका जगर सोतोःअकदम अमदो
मुन्डा बच्चा का जन्म के दिन गर्भ नाल दफनाये जाने के स्थान पर गाड़ा जाता है।	मुंडा होनअः जोनोम् हुलंग पोटा तोपायोओ तअःरे बिदोओवा।
उसी प्रकार से निधि दुबे, उनके पति मुकेश दुबे सेना में नायक का काम करते थे और मातृ-भूमि के लिए शहीद हो गए तो उनकी पत्नी निधि ने मन में ठान ली और वे भी सेना में भर्ती हो गयीं ।	एन लेकागे निधि दुबु, अयगः किसान मुकेश दुबे सेना रेः कामि तान तइ केना ओड़ो मातृ-भूमि मेनते शहीद जनाकिन दो अयगः ओड़ाः होड़ा निधि जि रेः रोजोट केदा ओड़ोः अयोगे सेना रेः भरतिन जना।
ऐसे नेता जिन्होंने दूसरे धर्म की महिलाओं से किया विवाह	एनलेका नेताको ओकोए एटा: धर्मको:आ कुड़िकोलो: आड़ानदिकाना
कुछ भी स् थायी नहीं।	जाना: गोटा जिन्दगी ताइनो: लेका बनो:।
जोहार साहब ! अच्छे तो हैं ?	जोआर गोमके! बुगि गे चि ?
यह हमारे स्वभाव से जुड़ा है।	नेआ आबुआः स्वभाव ते जुड़ागाकाना।
