एक	ᱢᱤᱫ
दो	ᱵᱟᱨ
तीन	ᱯᱮ
चार	ᱯᱳᱱ
पाँच	ᱢᱚᱬᱮ
छः	ᱛᱩᱨᱩᱭ
सात	ᱮᱭᱟᱭ
आठ	ᱟᱨ
नौ	ᱱᱟᱭ
दस	ᱜᱮᱞ
ग्यारह	ᱜᱮᱞ ᱢᱤᱫ
बारह	ᱜᱮᱞ ᱵᱟᱨ
तेरह	ᱜᱮᱞ ᱯᱮ
चौदह	ᱜᱮᱞ ᱯᱳᱱ
पंद्रह	ᱜᱮᱞ ᱢᱚᱬᱮ
सोलह	ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सत्रह	ᱜᱮᱞ ᱮᱭᱟᱭ
अट्ठारह	ᱜᱮᱞ ᱟᱨ
उन्नीस	ᱜᱮᱞ ᱱᱟᱭ
बीस	ᱠᱩᱲᱤ
इक्कीस	ᱠᱩᱲᱤ ᱢᱤᱫ
बाईस	ᱠᱩᱲᱤ ᱵᱟᱨ
तेईस	ᱠᱩᱲᱤ ᱯᱮ
चौबीस	ᱠᱩᱲᱤ ᱯᱳᱱ
पच्चीस	ᱠᱩᱲᱤ ᱢᱚᱬᱮ
छब्बीस	ᱠᱩᱲᱤ ᱛᱩᱨᱩᱭ
सत्ताईस	ᱠᱩᱲᱤ ᱮᱭᱟᱭ
अट्ठाईस	ᱠᱩᱲᱤ ᱟᱨ
उनतीस	ᱠᱩᱲᱤ ᱱᱟᱭ
तीस	ᱯᱮ ᱜᱮᱞ
इकतीस	ᱯᱮ ᱜᱮᱞ ᱢᱤᱫ
बत्तीस	ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ
तेतीस	ᱯᱮ ᱜᱮᱞ ᱯᱮ
चौंतीस	ᱯᱮ ᱜᱮᱞ ᱯᱳᱱ
पैंतीस	ᱯᱮ ᱜᱮᱞ ᱢᱚᱬᱮ
छत्तीस	ᱯᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सैंतीस	ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ
अड़तीस	ᱯᱮ ᱜᱮᱞ ᱟᱨ
उनतालीस	ᱯᱮ ᱜᱮᱞ ᱱᱟᱭ
चालीस	ᱯᱳᱱ ᱜᱮᱞ
इकतालीस	ᱯᱳᱱ ᱜᱮᱞ ᱢᱤᱫ
बयालीस	ᱯᱳᱱ ᱜᱮᱞ ᱵᱟᱨ
