बाद में मिलते हैं	ᱛᱟᱭᱚᱢ ᱛᱮ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱚᱜᱼᱟ
ᱪᱮᱫ ᱟᱢ ᱤᱝᱨᱟᱡᱤ ᱨᱚᱲ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱᱟᱢ?	क्या आप अंग्रेज़ी बोलते हैं?
मैं समझता हूँ	ᱤᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟᱹᱧ
आज	ᱛᱮᱦᱮᱧ
ᱟᱨᱮ	नौ
कृपया मेनू	ᱢᱮᱱᱭᱩ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ
ᱚᱛᱮ ᱢᱟᱦᱟᱸ	सोमवार
पुलिस को बुलाओ	ᱯᱩᱞᱤᱥ ᱦᱚᱦᱚ ᱠᱚᱢ
चार	ᱯᱩᱱ
ᱟᱢ ᱥᱟᱶ ᱧᱟᱯᱟᱢ ᱠᱟᱛᱮ ᱠᱩᱥᱤ ᱮᱱᱟᱹᱧ	आपसे मिलकर अच्छा लगा
ᱥᱟᱹᱜᱩᱱ ᱥᱤᱸᱜᱟᱹᱲ	शुभ संध्या
शुभ दोपहर	ᱥᱟᱹᱜᱩᱱ ᱛᱟᱨᱟᱥᱤᱧ
ᱤᱧ ᱱᱚᱸᱰᱮ ᱠᱟᱹᱢᱤ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱱᱟᱹᱧᱟ	मैं यहां काम के लिए हूँ
कृपया	ᱫᱟᱭᱟ ᱠᱟᱛᱮ
ᱟᱢ ᱪᱮᱫ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?	आप कैसे हैं?
ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱛᱤᱱᱟᱹᱜ ?	इसकी लागत कितनी है?
ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱢᱤᱱᱟᱹᱧᱟ	मुझे भूख लगी है
ᱱᱩᱭ ᱫᱚ ᱤᱧ ᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ	यह मेरा दोस्त है
अभी	ᱱᱤᱛᱚᱜ
ᱤᱧ ᱨᱩᱣᱟᱹ ᱜᱮᱭᱟᱹᱧ	मैं बीमार हूँ
ᱤᱧ ᱛᱮᱛᱟᱝ ᱟᱠᱟᱱᱟᱹᱧ	मुझे प्यास लगी है
ᱱᱚᱸᱰᱮ ᱦᱟᱹᱥᱩ ᱢᱮᱱᱟᱜᱼᱟ	यहाँ दर्द होता है
ᱢᱤᱫ ᱥᱟᱭ	एक सौ
ᱤᱧ ᱱᱟᱥᱮ ᱨᱚᱲ ᱮᱫᱟᱹᱧ	मैं थोड़ा बोलता हूँ
ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ	क्षमा करें
सीधे आगे बढ़ें	ᱥᱤᱫᱷᱟᱹ ᱞᱟᱦᱟ ᱥᱮᱱᱚᱜ ᱢᱮ
हाँ	ᱦᱮᱸ
यह बहुत महंगा है	ᱱᱚᱣᱟ ᱫᱚ ᱟᱹᱰᱤ ᱫᱟᱢ ᱜᱮᱭᱟ
दस	ᱜᱮᱞ
डॉक्टर को बुलाओ	ᱢᱤᱫ ᱰᱟᱠᱴᱚᱨ ᱦᱚᱦᱚᱭᱮᱢ
