demo0001	यह नीला फर्श है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱚᱛ ᱠᱟᱱᱟ।
demo0002	यह पीला फर्श है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱚᱛ ᱠᱟᱱᱟ।
demo0003	यह लाल फर्श है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱚᱛ ᱠᱟᱱᱟ।
demo0004	फर्श कहाँ है?	ᱚᱛ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0005	चॉक कहाँ है?	ᱪᱟᱠ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0006	यह पीला चॉक है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0007	यह पुराना फर्श है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱚᱛ ᱠᱟᱱᱟ।
demo0008	यह पीला पेन है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0009	यह सफ़ेद फर्श है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱚᱛ ᱠᱟᱱᱟ।
demo0010	यह काला फर्श है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱚᱛ ᱠᱟᱱᱟ।
demo0011	यह नीला पेन है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0012	पेन कहाँ है?	ᱯᱮᱱ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0013	यह नया फर्श है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱚᱛ ᱠᱟᱱᱟ।
demo0014	यह लाल चॉक है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0015	यह हरा फर्श है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱚᱛ ᱠᱟᱱᱟ।
demo0016	यह नीला चॉक है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0017	यह लाल पेन है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0018	यह नया चॉक है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0019	खेल कहाँ है?	ᱠᱷᱮᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0020	मेरे पास फर्श है।	ᱤᱧ ᱴᱷᱮᱱ ᱚᱛ ᱢᱮᱱᱟᱜᱼᱟ।
demo0021	यह नीला प्रश्न है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0022	यह अच्छा फर्श है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱚᱛ ᱠᱟᱱᱟ।
demo0023	यह काला चॉक है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0024	यह पुराना चॉक है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0025	यह पीला प्रश्न है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0026	यह पीला स्कूल है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0027	यह पीला उत्तर है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0028	यह लाल बस्ता है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0029	कक्षा में फर्श है।	ᱠᱞᱟᱥ ᱨᱮ ᱚᱛ ᱢᱮᱱᱟᱜᱼᱟ।
demo0030	यह नीला स्लेट है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0031	यह हरा चॉक है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0032	यह पीला कक्षा है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0033	कक्षा कहाँ है?	ᱠᱞᱟᱥ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0034	यह नीला कक्षा है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0035	यह नया पेन है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0036	यह लाल स्कूल है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0037	यह पीला खेल है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0038	पाठ कहाँ है?	ᱯᱟᱴᱷ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0039	यह काला पेन है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0040	यह लाल पाठ है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0041	यह लाल प्रश्न है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0042	यह सफ़ेद पेन है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0043	यह छोटा फर्श है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱚᱛ ᱠᱟᱱᱟ।
demo0044	यह पुराना पेन है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0045	स्कूल कहाँ है?	ᱥᱠᱩᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0046	यह पीला स्लेट है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0047	यह लाल स्लेट है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0048	यह पीला पाठ है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0049	उत्तर कहाँ है?	ᱛᱮᱞᱟ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0050	यह सफ़ेद चॉक है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0051	यह नीला खेल है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0052	यह पीला बस्ता है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0053	यह लाल कक्षा है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0054	यह लाल उत्तर है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
