Unnamed: 0,Santali,English,Hindi
58525842,"ᱡᱩᱞᱩᱫᱼᱡᱩᱞᱩᱫᱚᱜ ᱠᱟᱱ ᱢᱳᱢᱵᱟᱛᱤ ᱨᱮᱭᱟᱜ ᱟᱨᱥᱟᱞ ᱛᱮ ᱵᱷᱤᱛ ᱨᱮ ᱵᱚᱛᱚᱨᱟᱱ, ᱮᱱᱮᱡᱚᱜ ᱠᱟᱱ ᱩᱢᱩᱞ ᱧᱮᱞ ᱮᱱᱟ ᱾","The flickering candlelight cast eerie, dancing shadows on the walls.","टिमटिमाती मोमबत्ती की रोशनी ने दीवारों पर डरावनी, नाचती हुई परछाइयाँ डालीं।"
58535842,"ᱤᱧ ᱡᱚᱠᱷᱚᱱ ᱜᱮ ᱱᱤᱥᱩᱱ ᱜᱩᱞᱤ ᱛᱟᱞᱟᱛᱮᱧ ᱪᱟᱞᱟᱣ ᱮᱱᱟ, ᱢᱤᱫ ᱢᱟᱭᱟᱢ ᱡᱚᱢᱟ ᱜᱚᱫᱚᱜ ᱞᱮᱠᱟᱱ ᱠᱤᱠᱭᱟᱹᱣ ᱟᱸᱡᱚᱢ ᱮᱱᱟ, ᱡᱟᱦᱟᱸᱛᱮ ᱤᱧᱟᱹᱜ ᱵᱤᱥᱤᱡᱟᱝ ᱥᱤᱨᱥᱤᱨᱟᱹᱣ ᱮᱱᱟ ᱾","As I walked through the desolate alleyway, a blood-curdling scream echoed, sending a shiver down my spine.","जब मैं सुनसान गली से गुजरा, तो एक रोंगटे खड़े कर देने वाली चीख गूँज उठी, जिससे मेरी रीढ़ में सिहरन दौड़ गई।"
58545842,"ᱡᱷᱩᱲ ᱫᱟᱱᱟᱝᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱡᱤᱭᱟᱹᱞᱤ ᱟᱪᱠᱟᱜᱮ, ᱮᱛᱟᱝ ᱦᱤᱥ ᱛᱮ ᱩᱱᱠᱩᱭ ᱪᱚᱢᱠᱟᱣ ᱠᱮᱫ ᱠᱚᱣᱟ ᱾","The sudden, sharp hiss of a hidden creature in the underbrush startled them.","झाड़ियों में छिपे किसी जीव की अचानक, तीखी फुफकार ने उन्हें चौंका दिया।"
58555842,ᱤᱧᱟᱹᱜ ᱜᱟᱹᱰᱤ ᱨᱮᱭᱟᱜ ᱤᱱᱡᱤᱱ ᱠᱷᱚᱱ ᱦᱤᱡᱩᱜ ᱠᱟᱱ ᱵᱟᱝᱼᱴᱷᱤᱠ ᱥᱟᱰᱮ ᱤᱫᱤ ᱠᱟᱛᱮᱜ ᱤᱧ ᱥᱟᱹᱨᱤᱜᱮᱧ ᱪᱤᱱᱛᱟᱹᱜ ᱠᱟᱱᱟ ᱾,The strange noises coming from my car's engine are making me really anxious.,मेरी कार के इंजन से आने वाली अजीब आवाजें मुझे सचमुच बहुत चिंतित कर रही हैं।
58565842,"ᱟᱢᱟᱜ ᱢᱮᱫ ᱠᱚᱬᱨᱮ ᱟᱪᱠᱟᱜᱮ, ᱵᱟᱝ ᱵᱚᱨᱜᱚᱱ ᱞᱟᱲᱪᱟᱲᱚᱜ ᱠᱟᱱ ᱟᱢᱟᱜ ᱥᱤᱨ ᱠᱚ ᱛᱟᱞᱟᱛᱮ ᱮᱰᱨᱮᱱᱟᱞᱤᱱ ᱨᱮᱱᱟᱜ ᱦᱮᱞᱠᱟᱣ ᱮ ᱠᱳᱞᱼᱟ ᱾","The sudden, inexplicable movement in the corner of your eye sends a surge of adrenaline through your veins.",आपकी आँख के कोने में अचानक हुई अकथनीय हलचल आपकी नसों में एड्रेनालाईन का संचार कर देती है।
58575842,"ᱟᱨᱥᱟᱞ ᱨᱮᱭᱟᱜ ᱟᱪᱠᱟ , ᱵᱟᱝ ᱵᱤᱪᱷᱱᱟᱹᱣ ᱟᱱᱟᱜ ᱡᱤᱬᱤᱫ ᱡᱤᱬᱤᱫ ᱟᱢ ᱴᱷᱮᱱ ᱵᱚᱛᱚᱨᱮ ᱛᱟᱯᱟᱠᱤᱡᱟ ᱾","The sudden, inexplicable flicker of the lights leaves you with a gnawing sense of dread.","रोशनी का अचानक, अकथनीय टिमटिमाना आपको एक बेचैन कर देने वाले डर के साथ छोड़ देता है।"
58585842,"ᱥᱟᱺᱜᱤᱧᱨᱮ, ᱨᱟᱣᱟᱜ ᱠᱟᱱ ᱞᱟᱸᱫᱟ ᱧᱩᱨᱩ ᱢᱮᱱᱟᱜ ᱯᱟᱨᱠ ᱨᱮ ᱴᱷᱟᱶ ᱵᱟᱦᱨᱮ ᱨᱮ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱟᱢᱟᱜ ᱵᱤᱥᱤ ᱡᱟᱝ ᱦᱚᱸᱭ ᱛᱷᱟᱨ ᱛᱷᱟᱨᱟᱣᱟ ᱾","The distant, echoing laughter seems out of place in the abandoned amusement park, sending shivers down your spine.","परित्यक्त मनोरंजन पार्क में दूर से गूँजती हँसी बेमेल लगती है, जिससे आपकी रीढ़ में सिहरन दौड़ जाती है।"
58595842,ᱱᱚᱣᱟ ᱞᱟᱠᱛᱤᱭᱟᱱ ᱮᱱᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱯᱟᱭ ᱚᱵᱷᱤᱱᱮᱛᱟ ᱯᱟᱸᱡᱟ ᱧᱟᱢ ᱨᱮ ᱤᱧᱟᱹᱜ ᱟᱭᱢᱟ  ᱵᱚᱛᱚᱨ ᱥᱤᱨᱡᱟᱹᱜ ᱠᱟᱱᱟ ᱾,Finding the perfect actor for this crucial role is causing me a lot of anxiety.,इस महत्वपूर्ण भूमिका के लिए सही अभिनेता की तलाश मुझे बहुत अधिक चिंता में डाल रही है।
58605842,ᱥᱤᱧ ᱟᱠᱟᱱ ᱥᱤᱞᱯᱤᱧ ᱫᱟᱱᱟᱝ ᱠᱷᱚᱱ ᱯᱩᱥᱨᱤ ᱨᱮᱱᱟᱜ ᱥᱟᱰᱮ ᱟᱢ ᱴᱷᱮᱱ ᱦᱤᱡᱩᱜ ᱠᱟᱱ ᱵᱚᱛᱚᱨ ᱨᱮᱭᱟᱜ ᱟᱹᱱᱟᱹᱭᱠᱟᱹᱣ ᱮ ᱡᱟᱹᱥᱛᱤᱭᱟ ᱾,The scratching sounds from behind the closed door fill you with a sense of impending dread.,बंद दरवाजे के पीछे से आने वाली खरोंचने की आवाजें आपको आसन्न भय की भावना से भर देती हैं।
58615842,"ᱟᱭᱟᱜ ᱮᱯᱟᱨᱴᱢᱮᱱᱴ ᱨᱮ ᱟᱡ ᱮᱥᱠᱟᱨ ᱜᱮ, ᱩᱱᱤ ᱵᱟᱦᱨᱮ ᱨᱮ ᱫᱷᱟᱫᱚᱥ ᱟᱱ ᱛᱟᱲᱟᱢ ᱨᱮᱭᱟᱜ ᱥᱟᱰᱮ ᱟᱸᱡᱚᱢ ᱠᱮᱫᱟᱭ, ᱟᱨ ᱟᱡ ᱪᱮᱛᱟᱱ ᱨᱮ ᱵᱷᱟᱲᱩᱢᱵᱷᱟᱜ ᱰᱷᱟᱹᱣ ᱚᱴᱟᱝ ᱪᱟᱞᱟᱣ ᱱᱟ ᱾","Alone in her apartment, she heard mysterious footsteps in the hallway outside, and a wave of paranoia washed over her.","अपने अपार्टमेंट में अकेली, उसने बाहर दालान में रहस्यमयी कदमों की आहट सुनी, और उस पर व्यामोह (पैरानोइया) की एक लहर छा गई।"
