utt_id	wav_path	text_olchiki
train_santalimale_00001	wavs/train_santalimale_00001.wav	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲ ᱫᱚ, ᱵᱷᱟᱨᱚᱛ ᱫᱤᱥᱚᱢ ᱨᱮᱱ ᱟᱹᱫ ᱵᱩᱱᱤᱭᱚᱫ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ।
train_santalimale_00002	wavs/train_santalimale_00002.wav	ᱟᱵᱚ ᱨᱮᱱ ᱟᱹᱫᱢᱟᱱᱣᱟ ᱫᱚ ᱯᱤᱞᱪᱩ ᱦᱟᱲᱟᱹᱢ ᱟᱨ ᱯᱤᱞᱪᱩ ᱵᱩᱲᱦᱤ ᱠᱚ ᱢᱮᱛᱟ ᱠᱤᱱ ᱛᱟᱸᱦᱮᱸᱠᱟᱱᱟ।
train_santalimale_00003	wavs/train_santalimale_00003.wav	ᱩᱱᱚᱠᱤᱱ ᱨᱮᱱ ᱯᱚᱸᱜᱯᱚᱸᱜᱲᱟᱹ ᱜᱮ ᱦᱚᱲ, ᱠᱷᱮᱨᱣᱟᱞ ᱟᱨ ᱥᱟᱱᱛᱟᱲ ᱧᱩᱛᱩᱢ ᱛᱮ ᱵᱷᱟᱨᱚᱛ ᱫᱤᱥᱚᱢ ᱨᱮᱱᱟ ᱡᱷᱟᱨᱚᱠᱷᱚᱬᱰ, ᱵᱤᱦᱟᱨ, ᱩᱲᱤᱥᱟ, ᱯᱚᱥᱪᱤᱢ ᱵᱸᱜᱟᱞ, ᱪᱷᱚᱛᱛᱤᱥᱚᱜᱚᱲ, ᱟᱥᱟᱢ, ᱱᱟᱜᱟᱞᱮᱭᱬᱰ, ᱢᱚᱫᱷᱭᱚᱯᱨᱫᱮᱥ ᱯᱚᱱᱚᱫᱼᱟ ᱠᱨᱮ ᱫᱚ ᱵᱟᱰᱛᱤ ᱠᱟᱛᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱵᱚᱱᱟ।
train_santalimale_00004	wavs/train_santalimale_00004.wav	ᱱᱚᱣᱟ ᱯᱚᱱᱚᱫᱼᱟ ᱠᱚ ᱪᱷᱟᱲᱟᱹ ᱠᱟᱛᱮᱨᱮ ᱦᱚᱸ ᱮᱴᱟᱜᱼᱟ ᱯᱚᱱᱚᱛᱠᱚ ᱨᱮᱦᱚᱸ ᱢᱮᱱᱟᱜᱼᱟ ᱵᱚᱱ ᱜᱮᱭᱟ।
train_santalimale_00005	wavs/train_santalimale_00005.wav	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚ ᱫᱚ ᱪᱟᱥᱤᱵᱟᱥᱤ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ।
train_santalimale_00006	wavs/train_santalimale_00006.wav	ᱟᱵᱚᱣᱟᱷ ᱢᱟᱨᱟᱝ ᱠᱟ ᱠᱟᱹᱢᱤ ᱫᱚ ᱪᱟᱥ ᱵᱟᱥ ᱜᱮ ᱠᱟᱱᱟ।
train_santalimale_00007	wavs/train_santalimale_00007.wav	ᱪᱟᱥ ᱵᱟᱥ ᱥᱟᱸᱣᱛᱮ ᱡᱤᱵ ᱡᱤᱭᱟᱹᱞᱤ ᱟᱥᱩᱞ ᱦᱚᱸ ᱡᱤᱵᱼᱟᱠᱟ ᱫᱚ ᱠᱟᱱᱜᱮᱭᱟ।
train_santalimale_00008	wavs/train_santalimale_00008.wav	ᱟᱵᱚ ᱫᱚ ᱰᱟᱸᱜᱨᱤ, ᱰᱟᱸᱜᱨᱟ, ᱢᱤᱭᱦᱩ, ᱢᱮᱨᱚᱢ, ᱵᱷᱤᱰᱤ, ᱥᱤᱢ, ᱥᱩᱠᱨᱤ, ᱜᱮᱰᱮ, ᱮᱢᱟᱱ ᱟᱥᱩᱞ ᱡᱟᱱᱣᱟᱨ ᱠᱚ ᱟᱥᱩᱞ ᱠᱚᱣᱟ ᱵᱚᱱ।
train_santalimale_00009	wavs/train_santalimale_00009.wav	ᱵᱤᱨ ᱵᱩᱨᱩ ᱨᱮᱱᱟᱷ ᱫᱟᱨᱮ ᱱᱟᱹᱲᱤ ᱨᱮᱦᱮᱛᱥᱮᱸᱫᱮᱫᱼᱟ ᱯᱟᱱᱛᱮ, ᱟᱞᱩ ᱫᱟᱠᱚ ᱞᱟ, ᱵᱤᱨ ᱵᱩᱨᱩ ᱨᱮ ᱥᱮᱸᱫᱨᱟ, ᱜᱟᱰᱟ ᱢᱩᱰᱩ ᱨᱮ ᱦᱟᱠᱩ ᱠᱟᱴᱠᱚᱢ ᱜᱚᱡᱼᱟ ᱦᱚᱸ ᱡᱤᱵᱼᱟᱠᱟ ᱠᱟᱱ ᱜᱮᱭᱟ।
train_santalimale_00010	wavs/train_santalimale_00010.wav	ᱱᱚᱣᱟ ᱠᱚ ᱪᱷᱟᱲᱟᱹ ᱠᱟᱛᱮ ᱮᱴᱟ: ᱠᱟᱹᱢᱤ ᱠᱟᱛᱮᱦᱚᱸ ᱟᱹᱥᱩᱞᱚ ᱨᱮᱱᱟ: ᱦᱚᱲ ᱫᱚ ᱠᱟᱱ ᱜᱮᱭᱟ।
train_santalimale_00011	wavs/train_santalimale_00011.wav	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚ ᱫᱚ ᱟᱥᱚᱞ ᱛᱮ ᱫᱚ ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ, ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱫᱚ ᱡᱮᱛᱮᱠᱷᱚᱱ ᱢᱟᱨᱮ ᱫᱷᱚᱨᱚᱢ ᱠᱟᱱᱟ।
train_santalimale_00012	wavs/train_santalimale_00012.wav	ᱱᱚᱣᱟ ᱫᱷᱚᱨᱚᱢ ᱫᱚ ᱯᱤᱲᱦᱤ ᱪᱮᱛᱟᱱ ᱯᱤᱲᱦᱤ ᱠᱷᱚᱱ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱤᱡᱩ: ᱠᱟᱱᱟ।
train_santalimale_00013	wavs/train_santalimale_00013.wav	ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱨᱮ ᱫᱚ ᱥᱤᱧ ᱪᱟᱸᱫᱚ, ᱧᱤᱫᱟ ᱪᱟᱸᱫᱚ, ᱫᱷᱟᱹᱨᱛᱤ, ᱚᱫᱼᱟ, ᱦᱟᱥᱟ, ᱵᱤᱨ ᱵᱩᱨᱩ, ᱫᱟᱨᱮ, ᱫᱷᱤᱨᱤ, ᱮᱢᱟᱱ ᱨᱮ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱫᱚᱦᱚ ᱠᱟᱛᱮ ᱜᱮ ᱫᱮᱵᱟ ᱥᱮᱵᱟᱭᱟᱵᱚᱱ।
train_santalimale_00014	wavs/train_santalimale_00014.wav	ᱢᱟᱨᱟᱝ ᱵᱩᱨᱩ, ᱡᱟᱦᱮᱨ ᱟᱭᱚ, ᱜᱚᱥᱟᱭ, ᱢᱚᱲᱮᱹᱠᱚ, ᱛᱩᱨᱩᱤᱠᱚ, ᱞᱤᱴᱟᱹ, ᱟᱨ ᱦᱟᱯᱲᱟᱹᱢ ᱠᱚ ᱫᱚ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱫᱟᱲᱮᱹ, ᱥᱟᱱᱟᱢᱴᱷᱮᱱ ᱢᱮᱱᱟᱷᱠᱚᱣᱟ, ᱟᱨ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱥᱮᱸᱲᱟᱹ, ᱢᱚᱱᱮ ᱠᱟᱛᱮ ᱜᱮ ᱵᱚᱱ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣᱮᱫᱼᱟ ᱠᱚᱣᱟ।
train_santalimale_00015	wavs/train_santalimale_00015.wav	ᱱᱩᱠᱩ ᱪᱮᱛᱚᱱ ᱨᱮᱜᱮ ᱥᱟᱱᱛᱟᱲᱠᱚᱣᱟ ᱫᱚ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00016	wavs/train_santalimale_00016.wav	ᱥᱟᱱᱛᱟᱲ ᱠᱚᱣᱟ: ᱞᱮᱜ, ᱟᱹᱨᱤ ᱪᱟᱞᱤ ᱱᱤᱭᱚᱢ ᱫᱷᱚᱨᱚᱢ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱫᱚ ᱟᱹᱰᱤ ᱜᱮ ᱱᱤᱨᱞᱟᱹ ᱱᱤᱯᱷᱩᱴ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00017	wavs/train_santalimale_00017.wav	ᱥᱟᱱᱛᱟᱲ ᱥᱚᱢᱟᱡ ᱥᱮ ᱥᱟᱸᱣᱛᱟ ᱫᱚ ᱠᱚᱲᱟᱹᱵᱚᱸᱥ ᱥᱟᱸᱣᱛᱟ ᱠᱟᱱᱟ।
train_santalimale_00018	wavs/train_santalimale_00018.wav	ᱚᱲᱟᱹ: ᱜᱷᱟᱨᱚᱸᱡᱼᱟ ᱨᱮᱱ ᱢᱟᱞᱤᱠ ᱠᱚ ᱠᱚᱲᱟᱹᱜᱮᱠᱚ ᱦᱭᱩ: ᱟ।
train_santalimale_00019	wavs/train_santalimale_00019.wav	ᱚᱱᱟᱛᱮ ᱠᱩᱲᱤ ᱦᱚᱯᱚᱱ ᱠᱷᱚᱱ ᱠᱚᱲᱟᱹ ᱦᱚᱯᱚᱱᱟ: ᱦᱚᱠ ᱫᱚ ᱵᱟᱹᱲᱛᱤ ᱜᱮᱭᱟ ᱚᱫᱼᱟ ᱦᱟᱥᱟᱨᱮ, ᱵᱚᱸᱜᱟ ᱫᱮᱣᱟ ᱥᱮᱣᱟ ᱨᱮ, ᱟᱨ ᱟᱪᱟᱨᱚᱵᱤᱪᱟᱨ ᱨᱮ।
train_santalimale_00020	wavs/train_santalimale_00020.wav	ᱥᱟᱱᱛᱟᱲ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱫᱚ ᱠᱚᱲᱟᱹ ᱦᱚᱯᱚᱱ ᱜᱮ ᱜᱚᱱᱯᱚᱱ ᱴᱟᱠᱟ ᱫᱚ ᱮᱢ ᱦᱩᱭᱩ: ᱟ।
train_santalimale_00021	wavs/train_santalimale_00021.wav	ᱵᱟᱵᱼᱟᱞᱟ ᱵᱮᱦᱟᱹ ᱨᱮ ᱫᱚ ᱢᱤᱫᱼᱟ ᱯᱟᱹᱨᱤᱥ ᱦᱚᱲ ᱫᱚ ᱵᱟᱝᱠᱚ ᱵᱟᱵᱼᱟᱞᱟ: ᱟ।
train_santalimale_00022	wavs/train_santalimale_00022.wav	ᱢᱤᱛ ᱵᱟᱨ ᱯᱟᱹᱨᱤᱥ ᱛᱟᱞᱟᱨᱮ ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲ ᱦᱚᱸ ᱮᱴᱟ: ᱯᱟᱹᱨᱤᱥᱠᱚ ᱥᱟᱸᱣ ᱫᱚ, ᱥᱮᱫᱟᱭ ᱠᱷᱚᱱ ᱵᱟᱵᱼᱟᱞᱟ ᱢᱟᱱᱟ ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00023	wavs/train_santalimale_00023.wav	ᱚᱱᱟ ᱠᱚ ᱫᱚ ᱱᱤᱛ ᱦᱚᱸ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱤᱡᱩᱷ ᱠᱟᱱᱟ।
train_santalimale_00024	wavs/train_santalimale_00024.wav	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚᱣᱟᱷ ᱫᱚ ᱜᱮᱞᱵᱟᱨ ᱯᱟᱹᱨᱤᱥ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00025	wavs/train_santalimale_00025.wav	ᱚᱱᱟᱠᱚ ᱫᱚ ᱠᱟᱱᱟ, ᱦᱟᱸᱥᱫᱟ:, ᱢᱟᱹᱨᱰᱤ, ᱥᱚᱨᱮᱱ, ᱦᱮᱢᱵᱨᱚᱢ, ᱴᱩᱰᱩ, ᱠᱤᱥᱠᱩ, ᱵᱟᱥᱠᱮ, ᱵᱮᱥᱨᱟ, ᱪᱚᱸᱲᱮᱹ, ᱯᱟᱹᱣᱚᱨᱤᱭᱟ, ᱜᱚᱸᱰᱣᱟᱨ, ᱢᱩᱨᱢᱩ।
train_santalimale_00026	wavs/train_santalimale_00026.wav	ᱱᱩᱠᱩ ᱯᱟᱹᱨᱤᱥ ᱢᱩᱫ ᱨᱮ ᱯᱟᱹᱣᱚᱨᱤᱭᱟ, ᱜᱚᱸᱰᱣᱟᱨ, ᱵᱮᱫᱤᱭᱟ ᱟᱨ ᱪᱚᱸᱲᱮᱹ ᱯᱟᱹᱨᱤᱥᱠᱚ ᱫᱚ ᱮᱴᱟ: ᱯᱟᱹᱨᱤᱥ ᱨᱮᱠᱚ ᱵᱚᱞᱚᱱ ᱠᱟᱱᱟ ᱟᱨ ᱠᱚ ᱢᱮᱥᱟ ᱢᱤᱥᱤ: ᱠᱟᱱᱟ।
train_santalimale_00027	wavs/train_santalimale_00027.wav	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚᱣᱟᱷ ᱫᱚ ᱟᱯᱱᱟᱨᱟᱷ ᱥᱟᱥᱚᱱ ᱛᱚᱸᱛᱨ ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00028	wavs/train_santalimale_00028.wav	ᱟᱹᱛᱩ ᱨᱮᱱ ᱯᱨᱫᱷᱟᱱ ᱫᱚ ᱢᱟᱸᱡᱷᱤ ᱠᱟᱱᱟᱭ।
train_santalimale_00029	wavs/train_santalimale_00029.wav	ᱢᱟᱸᱡᱷᱤ ᱜᱚᱰᱚ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱛᱮ ᱯᱟᱨᱟᱱᱤᱠ ᱟᱨ ᱡᱚᱜ ᱢᱟᱸᱡᱷᱤ ᱠᱤᱱ ᱛᱟᱸᱦᱮᱸᱱᱟ।
train_santalimale_00030	wavs/train_santalimale_00030.wav	ᱟᱹᱛᱩ ᱨᱮᱱ ᱵᱚᱸᱜᱟ ᱫᱮᱵᱟᱥᱮᱵᱟ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱛᱮᱫᱚ ᱱᱟᱭᱠᱮ ᱛᱟᱸᱦᱮᱸᱱᱟᱭ।
train_santalimale_00031	wavs/train_santalimale_00031.wav	ᱱᱟᱭᱠᱮ ᱜᱚᱲᱚ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱫᱚ ᱠᱩᱲᱟᱹᱢ ᱱᱟᱭᱠᱮ ᱛᱟᱸᱦᱮᱸᱱᱟᱭ।
train_santalimale_00032	wavs/train_santalimale_00032.wav	ᱟᱹᱛᱩ ᱵᱮᱱᱟᱣ ᱢᱟᱰᱟᱝ ᱫᱚ ᱜᱚᱨᱟᱢ ᱠᱚ ᱵᱮᱨᱮᱫᱟ।
