नमस्ते बच्चों।	ᱦᱚᱞᱮ ᱜᱤᱫᱽᱨᱟᱹᱠᱚ ᱾
आज का पाठ शुरू करें।	ᱛᱮᱦᱮᱧ ᱨᱮᱭᱟᱜ ᱥᱮᱪᱮᱫ ᱮᱛᱚᱦᱚᱵ ᱢᱮ ᱾
कृपया अपनी किताब खोलें।	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱟᱢᱟᱜ ᱯᱚᱛᱚᱵ ᱫᱚ ᱮᱦᱚᱵ ᱢᱮ ᱾
अक्षर 'अ' से शुरू करें।	'ᱮ'ᱮᱞ ᱠᱷᱚᱱ ᱮᱛᱚᱦᱚᱵ ᱢᱮ ᱾
सब मिलकर गिनती करें।	ᱥᱟᱱᱟᱢᱟᱜ ᱜᱮ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱞᱮᱠᱷᱟ ᱢᱮ ᱾
एक, दो, तीन, चार, पाँच।	ᱢᱤᱫ, ᱵᱟᱨ, ᱯᱮᱭᱟ, ᱯᱳᱱ, ᱢᱚᱬᱮ ᱾
यह एक सेब है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱾
वह लाल रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱨᱟᱜ ꯃꯆꯨ ᱾
स्कूल जाना अच्छी बात है।	ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱪᱟᱞᱟᱣ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱯᱟᱭ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ ᱾
मैं पढ़ना पसंद करता हूँ।	ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱮ ᱠᱷᱚᱡᱚᱜᱼᱟ ᱾
तुमने यह अच्छा किया।	ᱟᱢ ᱱᱚᱶᱟ ᱫᱚ ᱱᱟᱯᱟᱭ ᱠᱚᱨᱟᱣ ᱟᱠᱟᱫᱟ ᱾
