Unnamed: 0,Santali,English,Hindi
1025842,"᱒᱐᱑᱐ ᱥᱟᱞ ᱨᱮᱭᱟᱜ ᱦᱚᱲ ᱞᱮᱠᱷᱟ ᱞᱮᱠᱟᱛᱮ, ᱚᱰᱮ ᱓᱒,᱒᱙᱗ ᱦᱚᱲ ᱠᱚ ᱜᱤᱨᱟᱹᱵᱟᱥᱚᱜ ᱛᱟᱦᱮᱸ ᱾","As of the 2010 census, 32,297 people lived there.","2010 की जनगणना के अनुसार, वहाँ 32,297 लोग रहते थे।"
1035842,"ᱮᱹᱰᱮᱞ, ᱟᱭᱣᱟ ᱮᱹᱰᱮᱞ ᱫᱚ ᱢᱟᱨᱠᱤᱱ ᱡᱩᱠᱛᱚᱨᱟᱥᱴᱨᱚ ᱨᱮᱭᱟᱜ ᱟᱭᱮᱟ ᱥᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱥᱟᱦᱟᱨ ᱾","Adel, Iowa  Adel is a city in Iowa in the United States.","एडेल, आयोवा: एडेल संयुक्त राज्य अमेरिका के आयोवा में एक शहर है।"
1045842,ᱰᱤ ᱛᱳᱨᱮᱵᱤᱭᱟᱨᱛ ᱫᱚ ᱒᱐᱑᱖ ᱠᱷᱚᱱ ᱒᱐᱑᱗ ᱥᱟᱞ ᱦᱟᱹᱵᱤᱡ ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱯᱷᱩᱴᱵᱚᱞ ᱯᱷᱮᱰᱟᱨᱮᱥᱚᱱ ᱨᱮᱱ ᱢᱟᱲᱛᱮᱭ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾,De Torrebiarte was President of the National Football Federation from 2016 to 2017.,डी टोरीबियार्ट 2016 से 2017 तक राष्ट्रीय फुटबॉल महासंघ के अध्यक्ष थे।
1055842,ᱡᱟᱸᱦᱟᱛᱤᱱ ᱡᱟᱸᱦᱟᱛᱤᱱ ᱠᱚᱨᱮ ᱱᱚᱶᱟ ᱜᱩᱱᱩᱱ ᱨᱮᱭᱟᱜ ᱟᱭᱢᱟ ᱞᱮᱠᱟᱱ ᱢᱩᱴᱷᱟᱹᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾,Sometimes there are different forms of the same adjective.,कभी-कभी एक ही विशेषण (adjective) के विभिन्न रूप होते हैं।
1065842,"ᱥᱴᱤᱵᱷᱮᱱᱥᱚᱱ ᱫᱚ ᱢᱤᱫᱦᱚᱲ ᱫᱚᱥᱟᱨ ᱢᱟᱨᱟᱝᱵᱟ ᱦᱚᱯᱚᱱᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ, ᱢᱤᱫᱼᱫᱷᱟᱣ ᱫᱚ ᱯᱟᱴᱷᱚᱠ ᱢᱮᱹᱠᱞᱤᱱ ᱥᱴᱤᱵᱷᱮᱱᱥᱚᱱ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱵᱷᱮᱜᱟᱨ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾","Stevenson is a second cousin, once removed of actor McLean Stevenson.","स्टीवेन्सन अभिनेता मैकलीन स्टीवेन्सन के रिश्तेदार (सेकंड कजिन, वन्स रिमूव्ड) हैं।"
1075842,᱑᱙᱑᱖ ᱥᱟᱞ ᱨᱮᱭᱟᱜ ᱕ ᱚᱠᱴᱳᱵᱚᱨ ᱨᱮ ᱦᱤᱴᱞᱟᱨ ᱫᱚ ᱵᱩᱞᱮᱴ ᱨᱮᱭᱟᱜ ᱥᱮᱞ ᱛᱮᱭ ᱡᱚᱠᱷᱚᱢ ᱞᱮᱱᱟ ᱾,"On 5 October 1916, Hitler was hurt by a bullet shell.",5 अक्टूबर 1916 को हिटलर एक तोप के गोले के छर्रे से घायल हो गया था।
1085842,ᱱᱟᱛᱥᱤ ᱥᱚᱨᱠᱟᱨ ᱦᱚᱛᱮᱷᱮ ᱚᱱᱛᱚᱛᱚ ᱯᱚᱬᱮ ᱠᱳᱴᱤ ᱦᱚᱲ ᱠᱚ ᱜᱚᱡ ᱟᱠᱟᱱᱟ ᱾,"Because of the Nazi government, at least 50 million people died.",नाज़ी सरकार के कारण कम से कम 5 करोड़ (50 मिलियन) लोग मारे गए।
1095842,ᱮᱰᱮᱱ ᱫᱚ ᱑᱘᱓᱙ ᱥᱟᱞ ᱠᱷᱚᱱ ᱑᱙᱖᱗ ᱥᱟᱞ ᱦᱟᱹᱵᱤᱡ ᱵᱨᱤᱴᱤᱥ ᱨᱟᱡᱽᱯᱟᱴ ᱰᱟᱨᱟᱭᱛᱮ ᱥᱟᱢᱵᱲᱟᱣ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾,Aden was controlled by the British Empire from 1839 to 1967.,अदन 1839 से 1967 तक ब्रिटिश साम्राज्य के नियंत्रण में था।
1105842,ᱩᱱᱤ ᱫᱚ ᱨᱳᱢᱟᱱᱤᱭᱟ ᱨᱮᱱ ᱯᱷᱟᱭᱤᱱ ᱟᱨᱴᱤᱥᱴ ᱤᱭᱩᱱᱤᱭᱚᱱ ᱨᱮᱱ ᱨᱟᱹᱥᱭᱟᱹᱭ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾,She was a member of the Union of Fine Artists in Romania.,वह रोमानिया में यूनियन ऑफ फाइन आर्टिस्ट्स की सदस्य थीं।
1115842,ᱚᱱᱟᱛᱟᱭᱚᱢ ᱩᱱᱤ ᱫᱚ ᱯᱨᱤᱱᱥᱴᱚᱱ ᱡᱮᱜᱮᱫᱵᱤᱨᱫᱟᱹᱜᱟᱲᱨᱮ ᱟᱨ ᱱᱚᱨᱛᱷ ᱳᱭᱮᱥᱴᱟᱨᱱ ᱡᱮᱜᱮᱫᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮᱭᱟᱜ ᱞᱚ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮᱭ ᱯᱟᱲᱦᱟᱣ ᱞᱮᱱᱟ ᱾,Then he studied at Princeton University and Northwestern University Law School.,इसके बाद उन्होंने प्रिंसटन यूनिवर्सिटी और नॉर्थवेस्टर्न यूनिवर्सिटी लॉ स्कूल में पढ़ाई की।
