Unnamed: 0,Santali,English,Hindi
4525842,ᱩᱱᱤ ᱫᱚᱭ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱯᱩᱱ ᱟᱱᱟᱜ ᱟᱢᱮᱨᱤᱠᱟᱱ ᱦᱮᱸᱫᱮᱦᱚᱲ ᱛᱤᱨᱞᱟᱹ ᱡᱟᱸᱦᱟᱭ ᱫᱚ ᱱᱚᱶᱟ ᱴᱷᱟᱣ ᱨᱮᱭ ᱥᱮᱴᱮᱨ ᱞᱮᱱᱟ ᱾,She was the fourth Black American woman to reach that level.,वह उस स्तर तक पहुँचने वाली चौथी अश्वेत अमेरिकी महिला थीं।
4535842,ᱩᱱᱤ ᱫᱚ ᱑᱙᱐᱐ ᱥᱟᱞ ᱨᱮ ᱯᱳᱭᱞᱳ ᱯᱮᱹᱱ ᱟᱯᱷᱨᱤᱠᱟᱱ ᱦᱮᱞᱢᱮᱞ ᱨᱮᱦᱚᱭ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾,She was also at the first Pan African Conference in 1900.,वह 1900 में पहले पैन अफ्रीकी सम्मेलन में भी उपस्थित थीं।
4545842,ᱯᱳᱭᱞᱳ ᱨᱮ ᱩᱱᱤ ᱫᱚ ᱱᱚᱝᱠᱟᱱ ᱢᱤᱫᱦᱚᱲᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱡᱟᱸᱦᱟᱭ ᱫᱚ ᱚᱠᱚᱭᱥᱮᱫ ᱦᱚᱸ ᱵᱟᱝ ᱥᱟᱭ ᱠᱟᱛᱮᱭ ᱧᱮᱞ ᱮᱫ ᱛᱟᱦᱮᱸ ᱾,"At first, she was just somebody who was watching without taking a side.","शुरुआत में, वह केवल एक ऐसी व्यक्ति थीं जो किसी का पक्ष लिए बिना देख रही थीं।"
4555842,ᱩᱱᱤ ᱫᱚ ᱜᱤ ᱰᱤ ᱟᱨ ᱨᱮᱭᱟᱜ ᱚᱱᱚᱞᱤᱭᱟᱹ ᱤᱭᱩᱱᱤᱭᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱮ ᱠᱟᱹᱢᱤᱭᱮᱫ ᱛᱟᱦᱮᱸ ᱾,She worked for the Writers Union of the GDR.,उन्होंने जीडीआर (GDR) के लेखक संघ के लिए काम किया।
4565842,ᱟᱱᱟ ᱩᱭᱤᱱᱴᱩᱨ ᱫᱚ ᱑᱖ ᱥᱮᱨᱢᱟ ᱩᱢᱮᱨ ᱨᱮ ᱤᱛᱩᱱ ᱟᱥᱲᱟ ᱪᱟᱞᱟᱜ ᱮ ᱵᱚᱱᱫᱚ ᱠᱮᱫᱟ ᱟᱨ ᱯᱷᱮᱹᱥᱚᱱ ᱨᱮ ᱟᱭᱟᱜ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱡᱤᱭᱚᱱᱮ ᱮᱛᱚᱦᱚᱵ ᱠᱮᱫᱟ ᱾,Anna Wintour stopped going to school at 16 and started her career in fashion.,अन्ना विंटूर ने 16 साल की उम्र में स्कूल जाना छोड़ दिया और फैशन में अपना करियर शुरू किया।
4575842,ᱯᱳᱭᱞᱳ ᱡᱚᱥ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱟᱹᱠᱤᱞ ᱨᱮᱭᱟᱜ ᱵᱤᱰᱟᱹᱣ ᱾,The first purpose is to assess the availability of knowledge.,पहला उद्देश्य ज्ञान की उपलब्धता का आकलन करना है।
4585842,ᱩᱱᱤ ᱫᱚ ᱑᱙᱗᱘ ᱥᱟᱞ ᱨᱮ ᱯᱤᱴᱥᱵᱟᱨᱜ ᱡᱮᱜᱮᱫ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱠᱷᱚᱱ ᱵᱤ ᱮ ᱯᱟᱥ ᱞᱮᱫᱟᱭ ᱾,She graduated from the University of Pittsburgh in 1978.,उन्होंने 1978 में पिट्सबर्ग विश्वविद्यालय से स्नातक की उपाधि प्राप्त की।
4595842,ᱩᱱᱤ ᱫᱚ ᱑᱙᱔᱗ ᱥᱟᱞ ᱨᱮ ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱟᱹᱨᱩᱯᱷᱮᱨᱟᱣ ᱢᱩᱫᱨᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱜᱚᱲᱚ ᱠᱚ ᱮᱢ ᱞᱮᱱᱟ ᱾,He helped print a version of it in 1947.,उन्होंने 1947 में इसके एक संस्करण को मुद्रित करने में मदद की।
4605842,"ᱩᱱᱤ ᱫᱚ ᱨᱤᱪᱟᱨᱰ ᱱᱮᱵᱷᱤᱞ ᱨᱮᱱ ᱦᱚᱯᱚᱱᱮᱨᱟ, ᱳᱭᱟᱨᱩᱭᱤᱠ ᱨᱮᱱ ᱑᱖ ᱟᱱᱟᱜ ᱟᱨᱞ, ᱵᱟᱯᱞᱟ ᱾","She was the daughter of Richard Neville, 16th Earl of Warwick, Marriage.",वह वारविक के 16वें अर्ल रिचर्ड नेविल की बेटी थीं।
4615842,ᱡᱟᱸᱦᱟᱭ ᱜᱮ ᱠᱚᱢᱤᱣᱩᱱᱤᱥᱴ ᱢᱮᱱᱛᱮ ᱧᱩᱢ ᱜᱟᱱᱟᱚᱼᱥ ᱟᱨ ᱟᱹᱰᱤ ᱦᱚᱲ ᱜᱮᱠᱚ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾,Anyone could be accused of being a communist and many were.,किसी पर भी कम्युनिस्ट होने का आरोप लगाया जा सकता था और कई लोगों पर लगाया भी गया।
