Unnamed: 0,Santali,English,Hindi
23525842,ᱩᱱᱤ ᱫᱚ ᱟᱭᱢᱟ ᱞᱮᱠᱟᱱ ᱯᱷᱤᱞᱢ ᱟᱨ ᱰᱨᱟᱢᱟ ᱨᱮ ᱧᱩᱛᱩᱢ ᱮ ᱧᱟᱢ ᱟᱠᱟᱫᱟ ᱾,He achieves popularity through various kinds of movies and dramas.,वह विभिन्न प्रकार की फिल्मों और नाटकों के माध्यम से लोकप्रियता हासिल करते हैं।
23535842,ᱩᱱᱤ ᱫᱚ ᱢᱤᱫ ᱥᱟᱬᱮᱥᱤᱭᱟᱹ ᱦᱚᱛᱮᱛᱮ ᱡᱤᱱᱤᱥ ᱛᱮᱭᱟᱨ ᱟᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱹᱝ ᱵᱟᱹᱲᱛᱤ ᱫᱟᱲᱮᱭᱟᱱ ᱯᱷᱩᱨᱜᱟᱹᱞᱤᱭᱟᱹ ᱞᱟᱹᱜᱤᱫ᱾,He is genetically modified by a scientist to make a more powerful soldier.,अधिक शक्तिशाली सैनिक बनाने के लिए एक वैज्ञानिक द्वारा उसे आनुवंशिक रूप से संशोधित (जेनेटिकली मॉडिफाई) किया गया है।
23545842,᱑᱙᱘᱑ ᱥᱟᱞᱮ ᱨᱮ ᱱᱚᱶᱟ ᱫᱚ ᱡᱳᱢᱵᱤ ᱯᱷᱤᱞᱢ ᱞᱮᱠᱟᱛᱮ ᱟᱨᱦᱚᱸ ᱥᱤᱱᱮᱢᱟ ᱨᱮ ᱧᱮᱞ ᱞᱮᱱᱟ ᱾,It was shown in theaters again in 1981 as a zombie movie.,इसे 1981 में फिर से एक जॉम्बी फिल्म के रूप में सिनेमाघरों में दिखाया गया था।
23555842,ᱯᱷᱤᱞᱢ ᱫᱚ ᱢᱤᱫ ᱵᱟᱵᱟ ᱥᱩᱱᱤ ᱟᱜ ᱠᱟᱛᱷᱟ ᱛᱮᱭ ᱮᱛᱚᱦᱚᱵᱟ ᱾,"The movie starts with a flashback told by a grandmother, Suni.","फिल्म की शुरुआत दादी, सुनी द्वारा सुनाई गई एक फ्लैशबैक से होती है।"
23565842,ᱢᱩᱬ ᱟᱠᱴᱚᱨ ᱫᱚ ᱢᱤᱫ ᱧᱩᱛᱩᱢᱟᱱ ᱠᱳᱨᱤᱭᱟᱱ ᱟᱠᱴᱚᱨ ᱠᱟᱱᱟᱭ ᱾,"The main actor, is a famous Korean actor.","मुख्य अभिनेता, एक प्रसिद्ध कोरियाई अभिनेता हैं।"
23575842,ᱩᱱᱤ ᱫᱚ ᱟᱡᱟᱜ ᱪᱟᱸᱫᱚᱠᱤᱭᱟᱹ ᱥᱟᱶᱛᱮ ᱟᱡᱟᱜ ᱪᱟᱸᱫᱚᱠᱤᱭᱟᱹ ᱮᱢᱟᱱ ᱠᱚ ᱮᱛᱚᱦᱚᱵᱟ ᱟᱨ ᱩᱱᱠᱩ ᱵᱟᱨᱭᱟ ᱫᱚ ᱥᱟᱶᱛᱮ ᱪᱟᱞᱟᱣ ᱮᱛᱚᱦᱚᱵᱟ ᱾,He shares her umbrella with her and the two start walking together.,वह उसके साथ अपना छाता साझा करता है और दोनों एक साथ चलने लगते हैं।
23585842,ᱱᱚᱶᱟ ᱫᱚ ᱟᱢᱮᱨᱤᱠᱟ ᱨᱮ ᱢᱤᱫ ᱦᱟᱯᱛᱟ ᱞᱟᱹᱜᱤᱫ ᱯᱩᱭᱞᱩ ᱴᱷᱟᱶ ᱨᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾,It was number one in the United States for one week.,यह एक सप्ताह तक संयुक्त राज्य अमेरिका में नंबर एक पर रहा।
23595842,ᱯᱩᱱ ᱥᱮᱨᱢᱟ ᱩᱢᱮᱨ ᱨᱮ ᱩᱱᱤᱭᱟᱜ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱥᱟᱶ ᱥᱟᱱᱟᱢ ᱯᱷᱚᱨᱱᱟᱱᱰᱳ ᱵᱷᱮᱞᱞᱤ ᱨᱮᱭ ᱥᱮᱱ ᱞᱮᱱᱟ ᱾,She moved to the San Fernando Valley with her family at age five.,वह पांच साल की उम्र में अपने परिवार के साथ सैन फर्नांडो वैली चली गईं।
23605842,"᱑᱙᱘᱒ ᱨᱮ ᱱᱩᱠᱩ ᱫᱚ ᱵᱚᱫᱚᱞ ᱞᱮᱱᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱱᱩᱠᱩᱣᱟᱜ ᱥᱮᱨᱮᱧ ᱫᱚ ᱱᱤᱛᱦᱚᱸ ᱧᱩᱛᱩᱢᱟᱱ ᱜᱮᱭᱟ ᱾","They originally broke up in 1982, but their music is still popular.","वे मूल रूप से 1982 में अलग हो गए थे, लेकिन उनका संगीत अभी भी लोकप्रिय है।"
23615842,᱑᱙᱙᱙ ᱥᱟᱞᱮ ᱨᱮ ᱱᱚᱶᱟ ᱫᱚ ᱕ ᱜᱚᱴᱟᱝ ᱚᱠᱛᱚ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱵᱚᱫᱚᱞ ᱞᱮᱱᱟ ᱾,"In 1999, it was extended to 5 hours.","1999 में, इसे बढ़ाकर 5 घंटे कर दिया गया था।"
23625842,ᱱᱚᱶᱟ ᱜᱨᱩᱯ ᱨᱮᱱ ᱢᱟᱹᱞᱤᱠ ᱠᱚᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱟᱨᱤᱠᱟ ᱴᱟᱠᱟᱨᱟᱱᱳ ᱟᱨ ᱢᱤᱠᱤᱭᱟ ᱠᱟᱛᱟᱠᱩᱨᱟ ᱾,The members of this group are Arika Takarano and Mikiya Katakura.,इस समूह के सदस्य एरिका ताकारानो और मिकिया काताकुरा हैं।
23635842,ᱡᱚᱛᱚ ᱴᱤᱢ ᱟᱠᱚᱣᱟᱜ ᱮᱠᱵᱤ ᱛᱷᱤᱭᱮᱴᱚᱨ ᱨᱮ ᱟᱠᱚᱣᱟᱜ ᱮᱠᱵᱤ ᱯᱨᱚᱯᱷᱚᱨᱢᱟᱱᱥ ᱠᱚ ᱫᱚᱦᱚᱭᱟ ᱾,Each team holds individual performances at the AKB theatre.,प्रत्येक टीम एकेबी (AKB) थिएटर में व्यक्तिगत प्रदर्शन आयोजित करती है।
23645842,ᱱᱟᱣᱟ ᱥᱮᱨᱮᱧ ᱠᱚ ᱚᱠᱚᱭ ᱥᱮᱨᱮᱧᱟ ᱚᱱᱟ ᱵᱟᱰᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱯᱩᱱᱭᱟᱹ ᱢᱟᱨᱟᱝ ᱵᱟᱪᱷᱱᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ ᱾,There are four big elections to decide who sings new songs.,नए गाने कौन गाएगा यह तय करने के लिए चार बड़े चुनाव होते हैं।
23655842,ᱱᱤᱛᱚᱜ ᱱᱚᱶᱟ ᱫᱚ ᱱᱟᱜᱟᱢ ᱨᱮ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱵᱟᱹᱲᱛᱤ ᱧᱮᱞᱚᱜ ᱠᱮᱵᱚᱞ ᱥᱠᱨᱤᱯᱴ ᱥᱳᱣ ᱞᱮᱠᱟᱛᱮ ᱧᱩᱛᱩᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱾,Currently it holds the title as most watched scripted cable show in history.,वर्तमान में इसके पास इतिहास में सबसे ज्यादा देखे जाने वाले स्क्रिप्टेड केबल शो का खिताब है।
23665842,ᱚᱥᱴᱨᱮᱞᱤᱭᱟᱱ ᱨᱮᱠᱳᱨᱰᱤᱝ ᱤᱱᱰᱚᱥᱴᱨᱤ ᱟᱥᱳᱥᱤᱭᱮᱥᱚᱱ (AIRA) ᱦᱚᱛᱮᱛᱮ ᱪᱟᱨᱴ ᱠᱚ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱱᱟ ᱾,The charts are created by the Australian Recording Industry Association.,चार्ट ऑस्ट्रेलियाई रिकॉर्डिंग उद्योग संघ द्वारा बनाए जाते हैं।
23675842,ᱵᱽᱞᱳᱜᱽ ᱨᱮ ᱵᱷᱮᱜᱟᱨ ᱵᱷᱮᱜᱟᱨ ᱥᱳᱣᱥ ᱨᱮᱱᱟᱜ ᱮᱯᱷᱤᱥᱳᱰ ᱠᱚ ᱵᱟᱵᱚᱛ ᱠᱟᱛᱷᱟ ᱠᱚ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱᱟ ᱾,The blogs consists of short stories about certain episodes for different shows.,ब्लॉग में विभिन्न शो के कुछ एपिसोड के बारे में छोटी कहानियाँ शामिल हैं।
23685842,ᱱᱚᱶᱟ ᱪᱮᱱᱮᱞ ᱫᱚ AMC ᱱᱮᱴᱣᱟᱨᱠᱥ ᱨᱮᱱ ᱠᱟᱱᱟ᱾ ᱱᱚᱶᱟ ᱫᱚ ᱴᱮᱞᱤᱵᱤᱡᱚᱱ ᱥᱳ ᱟᱨ ᱯᱷᱤᱞᱢ ᱠᱚ ᱩᱫᱩᱜ ᱥᱚᱫᱚᱨᱟ᱾,The channel is owned by AMC Networks and airs television shows and movies.,यह चैनल एएमसी नेटवर्क्स के स्वामित्व में है और टेलीविजन शो और फिल्में प्रसारित करता है।
23695842,ᱱᱩᱠᱩ ᱥᱚᱦᱚᱨ ᱨᱮᱱᱟᱜ ᱢᱤᱫ ᱰᱚᱢᱯᱷ ᱞᱟᱛᱟᱨ ᱨᱮ ᱢᱩᱥᱞᱟᱹ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱟᱥᱲᱟ ᱨᱮ ᱠᱚ ᱥᱮᱱᱚᱜᱼᱟ ᱾,They go to a school for monsters under a city dump.,वे शहर के कूड़ेदान के नीचे राक्षसों के एक स्कूल में जाते हैं।
23705842,ᱱᱚᱶᱟ ᱛᱟᱭᱚᱢ ᱩᱱᱤ ᱫᱚ ᱥᱯᱷᱚᱨᱢᱤᱝ ᱟᱨᱴᱥ ᱦᱟᱭ ᱥᱠᱩᱞ ᱨᱮ ᱥᱮᱪᱮᱫ ᱮ ᱮᱦᱚᱵ ᱞᱮᱫᱼᱟ ᱾,She continued going to the High School of the Performing Arts after this.,इसके बाद उन्होंने हाई स्कूल ऑफ द परफॉर्मिंग आर्ट्स में जाना जारी रखा।
23715842,ᱢᱳᱨᱟᱞᱮᱥ ᱫᱚ ᱵᱞᱮᱠᱦᱚᱠ ᱞᱟᱹᱜᱤᱫ ᱩᱰᱟᱹᱱ ᱰᱟᱹᱦᱤ ᱨᱮ ᱵᱟᱭ ᱚᱞ ᱟᱠᱟᱱᱟ ᱾,Morales was not registered with the FAA to fly for Blackhawk.,मोरालेस ब्लैकहॉक के लिए उड़ान भरने के लिए एफएए (FAA) के साथ पंजीकृत नहीं थे।
23725842,ᱟᱞᱤᱭᱟ ᱦᱮᱡ ᱞᱮᱱ ᱛᱟᱭᱚᱢ ᱦᱤᱣᱥᱴᱚᱱ ᱫᱚ ᱢᱮᱱ ᱠᱮᱫᱼᱟ ᱡᱮ ᱩᱱᱤ ᱯᱷᱤᱞᱢ ᱨᱮ ᱠᱟ.,Houston said after Aaliyah passed that she wanted to be in the movie.,ह्यूस्टन ने आलिया के निधन के बाद कहा कि वह फिल्म में काम करना चाहती थीं।
23735842,ᱱᱚᱶᱟ ᱠᱟᱛᱷᱟ ᱫᱚ ᱟᱭᱢᱟ ᱜᱟᱶᱛᱟ ᱠᱚᱣᱟᱜ ᱤᱱᱴᱚᱨᱵᱷᱤᱭᱩᱥᱚᱱ ᱨᱮ ᱧᱮᱞ ᱟᱠᱟᱱᱟ ᱾,This was noted by several organizations that did interviews with her.,उनका साक्षात्कार लेने वाले कई संगठनों द्वारा इस बात पर गौर किया गया था।
23745842,ᱥᱨᱤᱵᱚᱥᱛᱚᱵᱟ ᱫᱚ ᱕ ᱥᱮᱯᱴᱮᱢᱵᱚᱨ ᱒᱐᱑᱕ ᱥᱟᱞᱮ ᱨᱮ ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ ᱯᱚᱱᱚᱛ ᱨᱮᱱᱟᱜ ᱢᱩᱢᱵᱟᱭ ᱨᱮ ᱠᱮᱱᱥᱟᱨ ᱠᱷᱚᱱ ᱜᱩᱨ ᱮᱱᱟ ᱾,"Shrivastava died from cancer on 5 September 2015 in Mumbai, Maharashtra.","श्रीवास्तव की मृत्यु 5 सितंबर 2015 को मुंबई, महाराष्ट्र में कैंसर से हुई।"
23755842,ᱱᱚᱶᱟ ᱫᱚ ᱟᱦᱟᱛ ᱨᱮᱱᱟᱜ ᱢᱤᱫ ᱧᱩᱛᱩᱢᱟᱱ ᱚᱠᱛᱚ ᱠᱟᱱᱟ ᱾,It is one of the most popular seasons of Aahat.,यह 'आहट' के सबसे लोकप्रिय सीज़न में से एक है।
