ᱴᱮᱵᱩᱞ ᱨᱮ ᱤᱨᱟᱹᱞ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱯᱮᱱ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	मेज़ पर अस्सी एक पेन हैं।
मेज़ पर अस्सी एक पेन हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱤᱨᱟᱹᱞ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱯᱮᱱ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
ᱱᱚᱣᱟ ᱫᱚ ᱱᱟᱣᱟ ᱚᱲᱚᱜ ᱠᱟᱱᱟ।	यह नया घर है।
यह नया घर है।	ᱱᱚᱣᱟ ᱫᱚ ᱱᱟᱣᱟ ᱚᱲᱚᱜ ᱠᱟᱱᱟ।
कक्षा में बीस चार कुर्सी हैं।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱩᱲᱤ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
ᱠᱞᱟᱥ ᱨᱮ ᱠᱩᱲᱤ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	कक्षा में बीस चार कुर्सी हैं।
ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	मेज़ पर तीन पानी हैं।
मेज़ पर तीन पानी हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेज़ पर चार चाँद हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱪᱟᱸᱫᱚ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱪᱟᱸᱫᱚ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	मेज़ पर चार चाँद हैं।
यह नीला पानी है।	ᱱᱚᱣᱟ ᱫᱚ ᱱᱤᱞ ᱫᱟᱜ ᱠᱟᱱᱟ।
ᱱᱚᱣᱟ ᱫᱚ ᱱᱤᱞ ᱫᱟᱜ ᱠᱟᱱᱟ।	यह नीला पानी है।
वह खेल छोटे बच्चों के लिए है। आप जैसे बड़े आदमी अभी भी इसे कैसे खेल सकते हैं?	ᱱᱚᱶᱟ ᱠᱷᱮᱞ ᱫᱚ ᱦᱩᱰᱤᱧ ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱱᱟ ᱾ ᱟᱢ ᱞᱮᱠᱟ ᱦᱟᱨᱟᱜ ᱠᱟᱱ ᱡᱩᱣᱟᱹᱱ ᱠᱚ ᱪᱮᱠᱟ ᱞᱮᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱠᱚ ᱠᱷᱮᱞ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ?
ᱱᱚᱶᱟ ᱠᱷᱮᱞ ᱫᱚ ᱦᱩᱰᱤᱧ ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱱᱟ ᱾ ᱟᱢ ᱞᱮᱠᱟ ᱦᱟᱨᱟᱜ ᱠᱟᱱ ᱡᱩᱣᱟᱹᱱ ᱠᱚ ᱪᱮᱠᱟ ᱞᱮᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱠᱚ ᱠᱷᱮᱞ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ?	वह खेल छोटे बच्चों के लिए है। आप जैसे बड़े आदमी अभी भी इसे कैसे खेल सकते हैं?
ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	विद्यालय में साठ अमरूद हैं।
विद्यालय में साठ अमरूद हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
ᱠᱞᱟᱥ ᱨᱮ ᱤᱨᱟᱹᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	कक्षा में अस्सी छः ब्लैकबोर्ड हैं।
कक्षा में अस्सी छः ब्लैकबोर्ड हैं।	ᱠᱞᱟᱥ ᱨᱮ ᱤᱨᱟᱹᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
मेज़ पर बीस नौ तेल हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱠᱩᱲᱤ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱛᱮᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
ᱴᱮᱵᱩᱞ ᱨᱮ ᱠᱩᱲᱤ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱛᱮᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	मेज़ पर बीस नौ तेल हैं।
ᱠᱞᱟᱥ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱟᱴᱷ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	कक्षा में पचास दो पाठ हैं।
कक्षा में पचास दो पाठ हैं।	ᱠᱞᱟᱥ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱟᱴᱷ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
कक्षा में पचास सात घंटी हैं।	ᱠᱞᱟᱥ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱜᱷᱟᱱᱴᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
ᱠᱞᱟᱥ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱜᱷᱟᱱᱴᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	कक्षा में पचास सात घंटी हैं।
मेरे पास चालीस पाँच दाल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	मेरे पास चालीस पाँच दाल हैं।
ᱵᱷᱟᱨᱚᱛ ᱫᱚ ᱢᱤᱫ ᱢᱚᱦᱚᱛ ᱱᱟᱱᱟᱦᱩᱱᱟᱹᱨᱟᱱ ᱟᱨ ᱚᱛᱩᱞᱟᱹᱱ ᱫᱤᱥᱚᱢ ᱠᱟᱱᱟ ᱾	भारत बहुत विविधता और विषमता का देश है ।
भारत बहुत विविधता और विषमता का देश है ।	ᱵᱷᱟᱨᱚᱛ ᱫᱚ ᱢᱤᱫ ᱢᱚᱦᱚᱛ ᱱᱟᱱᱟᱦᱩᱱᱟᱹᱨᱟᱱ ᱟᱨ ᱚᱛᱩᱞᱟᱹᱱ ᱫᱤᱥᱚᱢ ᱠᱟᱱᱟ ᱾
कक्षा में बीस चार छात्र हैं।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱩᱲᱤ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
ᱠᱞᱟᱥ ᱨᱮ ᱠᱩᱲᱤ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	कक्षा में बीस चार छात्र हैं।
वाह, यह अद्भुत है.	ᱳ, ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱾
ᱳ, ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱾	वाह, यह अद्भुत है.
कक्षा में साठ दो विद्यार्थी हैं।	ᱠᱞᱟᱥ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।
