मेज़ पर ग्यारह दाल हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.38(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱫᱟᱞᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.40(model:टेबल पर दस गेंदें हैं।)
विद्यालय में तीस दो मछली हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.35(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱯᱮ ᱜᱚᱴᱟᱝ ᱵᱟᱨᱭᱟ ᱢᱤᱥ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.36(model:झाड़ी में बारह मछलियाँ हैं।)
विद्यालय में सात स्कूल हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱠᱩᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.43(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱢᱮᱱᱟᱜᱼᱟ ᱾)
विद्यालय में पचास चीनी हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱪᱤᱱᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.44(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱪᱤᱱ ᱨᱮᱱ ᱦᱚᱲᱠᱚ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾); sat2hi_f1=0.36(model:चंडीगढ़ में पाँच हजार चीनी है।)
मेरे पास चालीस छः आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.56(model:ᱤᱧ ᱴᱷᱮᱱ 40 ᱜᱚᱴᱟᱝ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.55(model:मेरे पास आप चार-छह हैं।)
यह अच्छा पेंसिल है।	ᱱᱚᱣᱟ ᱫᱚ ᱱᱟᱯᱟᱭ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।	hi2sat_f1=0.55(model:ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱯᱟᱭ ᱯᱮᱱᱥᱤᱞ ᱾)
यह एक छात्र है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟ।	hi2sat_f1=0.40(model:ᱩᱱᱤ ᱫᱚ ᱢᱤᱫ ᱜᱤᱫᱽᱨᱟᱹ ᱾)
विद्यालय में दस मुर्गी हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.57(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.60(model:चिनाई में दस मुर्गियां हैं।)
विद्यालय में अस्सी दाल हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱤᱨᱟᱹᱞ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.27(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ 80 ᱜᱚᱴᱟᱝ ᱰᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.40(model:पंजाब में आठ-दस गेंदें हैं।)
मेज़ पर पचास साँप हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱥᱟᱸᱯ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.40(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.36(model:टेबल पर पाँच हजार सांप हैं।)
