utt_id	wav	dur_s	peak	sr	status	flags	text_olchiki
train_santalimale_00001	train_santalimale_00001.wav	4.96	0.803	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲ ᱫᱚ, ᱵᱷᱟᱨᱚᱛ ᱫᱤᱥᱚᱢ ᱨᱮᱱ ᱟᱹᱫ ᱵᱩᱱᱤᱭᱚᱫ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ।
train_santalimale_00002	train_santalimale_00002.wav	6.85	0.802	48000	PASS	-	ᱟᱵᱚ ᱨᱮᱱ ᱟᱹᱫᱢᱟᱱᱣᱟ ᱫᱚ ᱯᱤᱞᱪᱩ ᱦᱟᱲᱟᱹᱢ ᱟᱨ ᱯᱤᱞᱪᱩ ᱵᱩᱲᱦᱤ ᱠᱚ ᱢᱮᱛᱟ ᱠᱤᱱ ᱛᱟᱸᱦᱮᱸᱠᱟᱱᱟ।
train_santalimale_00003	train_santalimale_00003.wav	18.84	0.806	48000	FLAG	dur:18.8s	ᱩᱱᱚᱠᱤᱱ ᱨᱮᱱ ᱯᱚᱸᱜᱯᱚᱸᱜᱲᱟᱹ ᱜᱮ ᱦᱚᱲ, ᱠᱷᱮᱨᱣᱟᱞ ᱟᱨ ᱥᱟᱱᱛᱟᱲ ᱧᱩᱛᱩᱢ ᱛᱮ ᱵᱷᱟᱨᱚᱛ ᱫᱤᱥᱚᱢ ᱨᱮᱱᱟ ᱡᱷᱟᱨᱚᱠᱷᱚᱬᱰ, ᱵᱤᱦᱟᱨ, ᱩᱲᱤᱥᱟ, ᱯᱚᱥᱪᱤᱢ ᱵᱸᱜᱟᱞ, ᱪᱷᱚᱛᱛᱤᱥᱚᱜᱚᱲ, ᱟᱥᱟᱢ, ᱱᱟᱜᱟᱞᱮᱭᱬᱰ, ᱢᱚᱫᱷᱭᱚᱯᱨᱫᱮᱥ ᱯᱚᱱᱚᱫᱼᱟ ᱠᱨᱮ ᱫᱚ ᱵᱟᱰᱛᱤ ᱠᱟᱛᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱵᱚᱱᱟ।
train_santalimale_00004	train_santalimale_00004.wav	5.32	0.801	48000	PASS	-	ᱱᱚᱣᱟ ᱯᱚᱱᱚᱫᱼᱟ ᱠᱚ ᱪᱷᱟᱲᱟᱹ ᱠᱟᱛᱮᱨᱮ ᱦᱚᱸ ᱮᱴᱟᱜᱼᱟ ᱯᱚᱱᱚᱛᱠᱚ ᱨᱮᱦᱚᱸ ᱢᱮᱱᱟᱜᱼᱟ ᱵᱚᱱ ᱜᱮᱭᱟ।
train_santalimale_00005	train_santalimale_00005.wav	3.60	0.799	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚ ᱫᱚ ᱪᱟᱥᱤᱵᱟᱥᱤ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ।
train_santalimale_00006	train_santalimale_00006.wav	3.97	0.803	48000	PASS	-	ᱟᱵᱚᱣᱟᱷ ᱢᱟᱨᱟᱝ ᱠᱟ ᱠᱟᱹᱢᱤ ᱫᱚ ᱪᱟᱥ ᱵᱟᱥ ᱜᱮ ᱠᱟᱱᱟ।
train_santalimale_00007	train_santalimale_00007.wav	5.80	0.802	48000	PASS	-	ᱪᱟᱥ ᱵᱟᱥ ᱥᱟᱸᱣᱛᱮ ᱡᱤᱵ ᱡᱤᱭᱟᱹᱞᱤ ᱟᱥᱩᱞ ᱦᱚᱸ ᱡᱤᱵᱼᱟᱠᱟ ᱫᱚ ᱠᱟᱱᱜᱮᱭᱟ।
train_santalimale_00008	train_santalimale_00008.wav	10.93	0.804	48000	PASS	-	ᱟᱵᱚ ᱫᱚ ᱰᱟᱸᱜᱨᱤ, ᱰᱟᱸᱜᱨᱟ, ᱢᱤᱭᱦᱩ, ᱢᱮᱨᱚᱢ, ᱵᱷᱤᱰᱤ, ᱥᱤᱢ, ᱥᱩᱠᱨᱤ, ᱜᱮᱰᱮ, ᱮᱢᱟᱱ ᱟᱥᱩᱞ ᱡᱟᱱᱣᱟᱨ ᱠᱚ ᱟᱥᱩᱞ ᱠᱚᱣᱟ ᱵᱚᱱ।
train_santalimale_00009	train_santalimale_00009.wav	13.81	0.809	48000	PASS	-	ᱵᱤᱨ ᱵᱩᱨᱩ ᱨᱮᱱᱟᱷ ᱫᱟᱨᱮ ᱱᱟᱹᱲᱤ ᱨᱮᱦᱮᱛᱥᱮᱸᱫᱮᱫᱼᱟ ᱯᱟᱱᱛᱮ, ᱟᱞᱩ ᱫᱟᱠᱚ ᱞᱟ, ᱵᱤᱨ ᱵᱩᱨᱩ ᱨᱮ ᱥᱮᱸᱫᱨᱟ, ᱜᱟᱰᱟ ᱢᱩᱰᱩ ᱨᱮ ᱦᱟᱠᱩ ᱠᱟᱴᱠᱚᱢ ᱜᱚᱡᱼᱟ ᱦᱚᱸ ᱡᱤᱵᱼᱟᱠᱟ ᱠᱟᱱ ᱜᱮᱭᱟ।
train_santalimale_00010	train_santalimale_00010.wav	6.34	0.805	48000	PASS	-	ᱱᱚᱣᱟ ᱠᱚ ᱪᱷᱟᱲᱟᱹ ᱠᱟᱛᱮ ᱮᱴᱟ: ᱠᱟᱹᱢᱤ ᱠᱟᱛᱮᱦᱚᱸ ᱟᱹᱥᱩᱞᱚ ᱨᱮᱱᱟ: ᱦᱚᱲ ᱫᱚ ᱠᱟᱱ ᱜᱮᱭᱟ।
train_santalimale_00011	train_santalimale_00011.wav	10.24	0.804	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚ ᱫᱚ ᱟᱥᱚᱞ ᱛᱮ ᱫᱚ ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ, ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱫᱚ ᱡᱮᱛᱮᱠᱷᱚᱱ ᱢᱟᱨᱮ ᱫᱷᱚᱨᱚᱢ ᱠᱟᱱᱟ।
train_santalimale_00012	train_santalimale_00012.wav	4.98	0.801	48000	PASS	-	ᱱᱚᱣᱟ ᱫᱷᱚᱨᱚᱢ ᱫᱚ ᱯᱤᱲᱦᱤ ᱪᱮᱛᱟᱱ ᱯᱤᱲᱦᱤ ᱠᱷᱚᱱ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱤᱡᱩ: ᱠᱟᱱᱟ।
train_santalimale_00013	train_santalimale_00013.wav	11.91	0.805	48000	PASS	-	ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱨᱮ ᱫᱚ ᱥᱤᱧ ᱪᱟᱸᱫᱚ, ᱧᱤᱫᱟ ᱪᱟᱸᱫᱚ, ᱫᱷᱟᱹᱨᱛᱤ, ᱚᱫᱼᱟ, ᱦᱟᱥᱟ, ᱵᱤᱨ ᱵᱩᱨᱩ, ᱫᱟᱨᱮ, ᱫᱷᱤᱨᱤ, ᱮᱢᱟᱱ ᱨᱮ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱫᱚᱦᱚ ᱠᱟᱛᱮ ᱜᱮ ᱫᱮᱵᱟ ᱥᱮᱵᱟᱭᱟᱵᱚᱱ।
train_santalimale_00014	train_santalimale_00014.wav	16.43	0.809	48000	FLAG	dur:16.4s	ᱢᱟᱨᱟᱝ ᱵᱩᱨᱩ, ᱡᱟᱦᱮᱨ ᱟᱭᱚ, ᱜᱚᱥᱟᱭ, ᱢᱚᱲᱮᱹᱠᱚ, ᱛᱩᱨᱩᱤᱠᱚ, ᱞᱤᱴᱟᱹ, ᱟᱨ ᱦᱟᱯᱲᱟᱹᱢ ᱠᱚ ᱫᱚ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱫᱟᱲᱮᱹ, ᱥᱟᱱᱟᱢᱴᱷᱮᱱ ᱢᱮᱱᱟᱷᱠᱚᱣᱟ, ᱟᱨ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱥᱮᱸᱲᱟᱹ, ᱢᱚᱱᱮ ᱠᱟᱛᱮ ᱜᱮ ᱵᱚᱱ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣᱮᱫᱼᱟ ᱠᱚᱣᱟ।
train_santalimale_00015	train_santalimale_00015.wav	4.85	0.802	48000	PASS	-	ᱱᱩᱠᱩ ᱪᱮᱛᱚᱱ ᱨᱮᱜᱮ ᱥᱟᱱᱛᱟᱲᱠᱚᱣᱟ ᱫᱚ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00016	train_santalimale_00016.wav	8.58	0.802	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱠᱚᱣᱟ: ᱞᱮᱜ, ᱟᱹᱨᱤ ᱪᱟᱞᱤ ᱱᱤᱭᱚᱢ ᱫᱷᱚᱨᱚᱢ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱫᱚ ᱟᱹᱰᱤ ᱜᱮ ᱱᱤᱨᱞᱟᱹ ᱱᱤᱯᱷᱩᱴ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00017	train_santalimale_00017.wav	4.85	0.808	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱥᱚᱢᱟᱡ ᱥᱮ ᱥᱟᱸᱣᱛᱟ ᱫᱚ ᱠᱚᱲᱟᱹᱵᱚᱸᱥ ᱥᱟᱸᱣᱛᱟ ᱠᱟᱱᱟ।
train_santalimale_00018	train_santalimale_00018.wav	4.56	0.800	48000	PASS	-	ᱚᱲᱟᱹ: ᱜᱷᱟᱨᱚᱸᱡᱼᱟ ᱨᱮᱱ ᱢᱟᱞᱤᱠ ᱠᱚ ᱠᱚᱲᱟᱹᱜᱮᱠᱚ ᱦᱭᱩ: ᱟ।
train_santalimale_00019	train_santalimale_00019.wav	9.96	0.806	48000	PASS	-	ᱚᱱᱟᱛᱮ ᱠᱩᱲᱤ ᱦᱚᱯᱚᱱ ᱠᱷᱚᱱ ᱠᱚᱲᱟᱹ ᱦᱚᱯᱚᱱᱟ: ᱦᱚᱠ ᱫᱚ ᱵᱟᱹᱲᱛᱤ ᱜᱮᱭᱟ ᱚᱫᱼᱟ ᱦᱟᱥᱟᱨᱮ, ᱵᱚᱸᱜᱟ ᱫᱮᱣᱟ ᱥᱮᱣᱟ ᱨᱮ, ᱟᱨ ᱟᱪᱟᱨᱚᱵᱤᱪᱟᱨ ᱨᱮ।
train_santalimale_00020	train_santalimale_00020.wav	6.10	0.804	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱫᱚ ᱠᱚᱲᱟᱹ ᱦᱚᱯᱚᱱ ᱜᱮ ᱜᱚᱱᱯᱚᱱ ᱴᱟᱠᱟ ᱫᱚ ᱮᱢ ᱦᱩᱭᱩ: ᱟ।
train_santalimale_00021	train_santalimale_00021.wav	5.62	0.803	48000	PASS	-	ᱵᱟᱵᱼᱟᱞᱟ ᱵᱮᱦᱟᱹ ᱨᱮ ᱫᱚ ᱢᱤᱫᱼᱟ ᱯᱟᱹᱨᱤᱥ ᱦᱚᱲ ᱫᱚ ᱵᱟᱝᱠᱚ ᱵᱟᱵᱼᱟᱞᱟ: ᱟ।
train_santalimale_00022	train_santalimale_00022.wav	7.84	0.803	48000	PASS	-	ᱢᱤᱛ ᱵᱟᱨ ᱯᱟᱹᱨᱤᱥ ᱛᱟᱞᱟᱨᱮ ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲ ᱦᱚᱸ ᱮᱴᱟ: ᱯᱟᱹᱨᱤᱥᱠᱚ ᱥᱟᱸᱣ ᱫᱚ, ᱥᱮᱫᱟᱭ ᱠᱷᱚᱱ ᱵᱟᱵᱼᱟᱞᱟ ᱢᱟᱱᱟ ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00023	train_santalimale_00023.wav	5.27	0.802	48000	PASS	-	ᱚᱱᱟ ᱠᱚ ᱫᱚ ᱱᱤᱛ ᱦᱚᱸ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱤᱡᱩᱷ ᱠᱟᱱᱟ।
train_santalimale_00024	train_santalimale_00024.wav	4.16	0.804	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚᱣᱟᱷ ᱫᱚ ᱜᱮᱞᱵᱟᱨ ᱯᱟᱹᱨᱤᱥ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00025	train_santalimale_00025.wav	14.72	0.800	48000	PASS	-	ᱚᱱᱟᱠᱚ ᱫᱚ ᱠᱟᱱᱟ, ᱦᱟᱸᱥᱫᱟ:, ᱢᱟᱹᱨᱰᱤ, ᱥᱚᱨᱮᱱ, ᱦᱮᱢᱵᱨᱚᱢ, ᱴᱩᱰᱩ, ᱠᱤᱥᱠᱩ, ᱵᱟᱥᱠᱮ, ᱵᱮᱥᱨᱟ, ᱪᱚᱸᱲᱮᱹ, ᱯᱟᱹᱣᱚᱨᱤᱭᱟ, ᱜᱚᱸᱰᱣᱟᱨ, ᱢᱩᱨᱢᱩ।
